# SimpleSim Simulation Results - 20250624_224442
# Generated: 2025-06-24 22:44:42
# Economic Parameters: Working Hours=166.4, Absence=16.0%, Utilization=85.0%, Employment Cost Rate=40.0%, Other Expense=19,000,000 SEK/month

=== OFFICE SUMMARY ===
Office,Year,Total FTE,Consultants,Total Hours,Avg Price,Revenue (SEK),Salary Cost (SEK),Employment Cost (SEK),EBITDA (SEK),Margin (%)
Stockholm,2025,1403,1051,1498427,1274.45,1909663033,842374560,1179324384,730338649,38.2
Munich,2025,687,508,724263,1498.00,1084943718,528643484,740100877,344842841,31.8
Hamburg,2025,274,195,278014,1510.11,419832280,198045132,277263184,142569095,34.0
Helsinki,2025,217,159,226689,1316.14,298354786,133953931,187535504,110819282,37.1
Oslo,2025,201,144,205303,1341.83,275480783,138382777,193735888,81744895,29.7
Berlin,2025,180,127,181066,1586.39,287241180,128907736,180470830,106770349,37.2
Copenhagen,2025,151,111,158254,1606.45,254227646,121862509,170607513,83620134,32.9
Zurich,2025,65,47,67009,1980.76,132727655,85601613,119842258,12885397,9.7
Frankfurt,2025,38,26,37069,1633.06,60535326,29107185,40750060,19785266,32.7
Amsterdam,2025,29,17,24237,1248.11,30250640,16197123,22675973,7574667,25.0
Cologne,2025,31,21,29940,1569.97,47005017,16046640,22465296,24539721,52.2
Toronto,2025,5,5,7129,1496.98,10671336,2694563,3772388,6898947,64.6
NonExistent,2025,0,0,0,0.00,0,0,0,0,0.0

=== WORKFORCE DETAILS ===
Office,Year,Role,Level,FTE,Salary (SEK/month),Hourly Rate (SEK)
Stockholm,2025,Consultant,A,92,42840,1129
Stockholm,2025,Consultant,AC,81,44880,1137
Stockholm,2025,Consultant,AM,250,59160,1273
Stockholm,2025,Consultant,C,188,48960,1177
Stockholm,2025,Consultant,M,110,71400,1405
Stockholm,2025,Consultant,PiP,31,91800,2040
Stockholm,2025,Consultant,SrC,211,54060,1209
Stockholm,2025,Consultant,SrM,88,85680,1491
Stockholm,2025,Operations,N/A,67,40000,N/A
Stockholm,2025,Recruitment,A,2,42840,1129
Stockholm,2025,Recruitment,AC,7,44880,1137
Stockholm,2025,Recruitment,AM,4,59160,1273
Stockholm,2025,Recruitment,C,7,48960,1177
Stockholm,2025,Recruitment,M,4,71400,1405
Stockholm,2025,Recruitment,PiP,1,91800,2040
Stockholm,2025,Recruitment,SrC,4,54060,1209
Stockholm,2025,Recruitment,SrM,4,85680,1491
Stockholm,2025,Sales,A,7,42840,1129
Stockholm,2025,Sales,AC,11,44880,1137
Stockholm,2025,Sales,AM,15,59160,1273
Stockholm,2025,Sales,C,6,48960,1177
Stockholm,2025,Sales,M,10,71400,1405
Stockholm,2025,Sales,PiP,9,91800,2040
Stockholm,2025,Sales,SrC,5,54060,1209
Stockholm,2025,Sales,SrM,7,85680,1491
Munich,2025,Consultant,A,21,58710,1308
Munich,2025,Consultant,AC,45,58710,1310
Munich,2025,Consultant,C,79,60968,1369
Munich,2025,Consultant,SrC,141,69467,1448
Munich,2025,Consultant,AM,142,79823,1556
Munich,2025,Consultant,M,58,92817,1706
Munich,2025,Consultant,SrM,13,112555,1992
Munich,2025,Consultant,PiP,9,138666,1816
Munich,2025,Sales,AC,2,58710,1310
Munich,2025,Sales,C,1,60968,1369
Munich,2025,Sales,SrC,7,69467,1448
Munich,2025,Sales,AM,7,79823,1556
Munich,2025,Sales,M,9,92817,1706
Munich,2025,Sales,SrM,2,112555,1992
Munich,2025,Sales,PiP,4,138666,1816
Munich,2025,Recruitment,A,1,58710,1308
Munich,2025,Recruitment,AC,2,58710,1310
Munich,2025,Recruitment,C,4,60968,1369
Munich,2025,Recruitment,SrC,0,69467,1448
Munich,2025,Recruitment,AM,7,79823,1556
Munich,2025,Recruitment,M,6,92817,1706
Munich,2025,Recruitment,SrM,2,112555,1992
Munich,2025,Recruitment,PiP,1,138666,1816
Munich,2025,Operations,N/A,35,40000,N/A
Hamburg,2025,Consultant,A,12,58710,1334
Hamburg,2025,Consultant,AC,36,58710,1326
Hamburg,2025,Consultant,C,44,60968,1431
Hamburg,2025,Consultant,SrC,40,69467,1500
Hamburg,2025,Consultant,AM,39,79823,1622
Hamburg,2025,Consultant,M,19,92817,1844
Hamburg,2025,Consultant,SrM,4,112555,1869
Hamburg,2025,Consultant,PiP,1,138666,2012
Hamburg,2025,Sales,A,0,58710,1334
Hamburg,2025,Sales,AC,3,58710,1326
Hamburg,2025,Sales,C,6,60968,1431
Hamburg,2025,Sales,SrC,4,69467,1500
Hamburg,2025,Sales,AM,4,79823,1622
Hamburg,2025,Sales,M,2,92817,1844
Hamburg,2025,Sales,SrM,1,112555,1869
Hamburg,2025,Sales,PiP,1,138666,2012
Hamburg,2025,Recruitment,AC,6,58710,1326
Hamburg,2025,Recruitment,C,2,60968,1431
Hamburg,2025,Recruitment,SrC,1,69467,1500
Hamburg,2025,Recruitment,AM,4,79823,1622
Hamburg,2025,Operations,N/A,8,40000,N/A
Helsinki,2025,Consultant,A,20,50322,1211
Helsinki,2025,Consultant,AC,22,50322,1245
Helsinki,2025,Consultant,C,30,53677,1290
Helsinki,2025,Consultant,SrC,35,59269,1321
Helsinki,2025,Consultant,AM,29,65978,1377
Helsinki,2025,Consultant,M,22,76043,1417
Helsinki,2025,Consultant,SrM,1,91699,1622
Helsinki,2025,Sales,A,1,50322,1211
Helsinki,2025,Sales,AC,1,50322,1245
Helsinki,2025,Sales,C,8,53677,1290
Helsinki,2025,Sales,SrC,1,59269,1321
Helsinki,2025,Sales,M,2,76043,1417
Helsinki,2025,Sales,PiP,1,98766,2012
Helsinki,2025,Recruitment,AM,4,65978,1377
Helsinki,2025,Recruitment,C,4,53677,1290
Helsinki,2025,Recruitment,M,1,76043,1417
Helsinki,2025,Recruitment,SrM,1,91699,1622
Helsinki,2025,Operations,N/A,5,40000,N/A
Oslo,2025,Consultant,A,6,52115,1150
Oslo,2025,Consultant,AC,7,54558,1208
Oslo,2025,Consultant,C,38,61072,1234
Oslo,2025,Consultant,SrC,31,65144,1319
Oslo,2025,Consultant,AM,33,70030,1385
Oslo,2025,Consultant,M,18,74916,1439
Oslo,2025,Consultant,SrM,10,85502,1645
Oslo,2025,Consultant,PiP,1,100973,2012
Oslo,2025,Sales,AC,3,54558,1208
Oslo,2025,Sales,C,5,61072,1234
Oslo,2025,Sales,SrC,3,65144,1319
Oslo,2025,Sales,AM,4,70030,1385
Oslo,2025,Sales,M,1,74916,1439
Oslo,2025,Recruitment,AM,1,70030,1385
Oslo,2025,Recruitment,C,2,61072,1234
Oslo,2025,Recruitment,M,4,74916,1439
Oslo,2025,Recruitment,SrC,2,65144,1319
Oslo,2025,Operations,N/A,6,40000,N/A
Berlin,2025,Consultant,A,4,58710,1421
Berlin,2025,Consultant,AC,19,58710,1421
Berlin,2025,Consultant,C,31,60968,1519
Berlin,2025,Consultant,SrC,37,69467,1600
Berlin,2025,Consultant,AM,27,79823,1757
Berlin,2025,Consultant,M,9,92817,1669
Berlin,2025,Sales,AC,2,58710,1421
Berlin,2025,Sales,C,2,60968,1519
Berlin,2025,Sales,SrC,6,69467,1600
Berlin,2025,Sales,AM,2,79823,1757
Berlin,2025,Sales,M,4,92817,1669
Berlin,2025,Sales,SrM,1,112555,1645
Berlin,2025,Recruitment,AM,2,79823,1757
Berlin,2025,Recruitment,C,3,60968,1519
Berlin,2025,Recruitment,SrC,2,69467,1600
Berlin,2025,Operations,N/A,4,40000,N/A
Copenhagen,2025,Consultant,A,5,65960,1378
Copenhagen,2025,Consultant,AC,23,66710,1474
Copenhagen,2025,Consultant,C,31,71207,1490
Copenhagen,2025,Consultant,SrC,25,77953,1675
Copenhagen,2025,Consultant,AM,18,85823,1745
Copenhagen,2025,Consultant,M,4,101189,1807
Copenhagen,2025,Consultant,SrM,4,110183,2191
Copenhagen,2025,Consultant,PiP,1,128922,2099
Copenhagen,2025,Sales,AC,1,66710,1474
Copenhagen,2025,Sales,C,2,71207,1490
Copenhagen,2025,Sales,SrC,2,77953,1675
Copenhagen,2025,Sales,AM,2,85823,1745
Copenhagen,2025,Sales,M,1,101189,1807
Copenhagen,2025,Sales,SrM,1,110183,2191
Copenhagen,2025,Sales,PiP,1,128922,2099
Copenhagen,2025,Recruitment,AC,0,66710,1474
Copenhagen,2025,Recruitment,C,2,71207,1490
Copenhagen,2025,Recruitment,SrC,3,77953,1675
Copenhagen,2025,Recruitment,M,2,101189,1807
Copenhagen,2025,Operations,N/A,4,40000,N/A
Zurich,2025,Consultant,A,1,101574,1608
Zurich,2025,Consultant,AC,8,106952,1337
Zurich,2025,Consultant,C,3,112329,1943
Zurich,2025,Consultant,SrC,14,125474,2057
Zurich,2025,Consultant,AM,11,145191,2193
Zurich,2025,Consultant,M,10,158336,2204
Zurich,2025,Sales,AC,2,106952,1337
Zurich,2025,Sales,C,2,112329,1943
Zurich,2025,Sales,AM,0,145191,2193
Zurich,2025,Sales,M,2,158336,2204
Zurich,2025,Recruitment,A,0,101574,1608
Zurich,2025,Recruitment,AC,1,106952,1337
Zurich,2025,Operations,N/A,1,40000,N/A
Frankfurt,2025,Consultant,A,1,58710,1370
Frankfurt,2025,Consultant,AC,4,58710,1595
Frankfurt,2025,Consultant,C,7,60968,1537
Frankfurt,2025,Consultant,SrC,6,69467,1561
Frankfurt,2025,Consultant,AM,3,79823,1760
Frankfurt,2025,Consultant,M,4,92817,1862
Frankfurt,2025,Consultant,SrM,1,112555,1862
Frankfurt,2025,Sales,A,1,58710,1370
Frankfurt,2025,Sales,AC,3,58710,1595
Frankfurt,2025,Sales,SrC,2,69467,1561
Frankfurt,2025,Recruitment,A,0,58710,1370
Frankfurt,2025,Recruitment,C,2,60968,1537
Frankfurt,2025,Recruitment,SrC,1,69467,1561
Amsterdam,2025,Consultant,A,1,44731,1174
Amsterdam,2025,Consultant,AC,7,46968,1137
Amsterdam,2025,Consultant,C,2,49204,1322
Amsterdam,2025,Consultant,SrC,4,56473,1268
Amsterdam,2025,Consultant,AM,1,64189,1351
Amsterdam,2025,Consultant,SrM,2,93768,1510
Amsterdam,2025,Sales,A,1,44731,1174
Amsterdam,2025,Sales,AC,2,46968,1137
Amsterdam,2025,Sales,C,1,49204,1322
Amsterdam,2025,Sales,AM,1,64189,1351
Amsterdam,2025,Sales,PiP,0,144761,2012
Amsterdam,2025,Recruitment,A,1,44731,1174
Amsterdam,2025,Recruitment,AC,1,46968,1137
Amsterdam,2025,Recruitment,SrC,1,56473,1268
Cologne,2025,Consultant,A,6,42840,1367
Cologne,2025,Consultant,AC,4,44880,1468
Cologne,2025,Consultant,C,1,48960,1473
Cologne,2025,Consultant,SrC,5,54060,1594
Cologne,2025,Consultant,AM,1,59160,1798
Cologne,2025,Consultant,M,4,71400,1913
Cologne,2025,Sales,AC,2,44880,1468
Cologne,2025,Sales,C,2,48960,1473
Cologne,2025,Recruitment,C,1,48960,1473
Cologne,2025,Recruitment,M,0,71400,1913
Toronto,2025,Consultant,A,1,35642,1497
Toronto,2025,Consultant,AC,1,39207,1497
Toronto,2025,Consultant,C,1,42771,1497
Toronto,2025,Consultant,SrC,1,49899,1497
Toronto,2025,Consultant,AM,1,57028,1497
NonExistent,2025,Office,Role,0,0,0

=== FINANCIAL METRICS ===
Year,Total System FTE,Total Revenue (SEK),Total Salary Cost (SEK),Total Employment Cost (SEK),Other Expenses (SEK),Total Costs (SEK),EBITDA (SEK),EBITDA Margin (%)
2025,3281,4810933399,2241817253,3138544155,228000000,3366544155,1444389245,30.0

=== MONTHLY PROGRESSION ===
Office,Year-Month,Total FTE,Consultants,Operations,Sales,Recruitment
Stockholm,2025-1,855,0,0,0,0
Stockholm,2025-2,891,0,0,0,0
Stockholm,2025-3,931,0,0,0,0
Stockholm,2025-4,978,0,0,0,0
Stockholm,2025-5,1019,0,0,0,0
Stockholm,2025-6,1064,0,0,0,0
Stockholm,2025-7,1113,0,0,0,0
Stockholm,2025-8,1169,0,0,0,0
Stockholm,2025-9,1221,0,0,0,0
Stockholm,2025-10,1278,0,0,0,0
Stockholm,2025-11,1341,0,0,0,0
Stockholm,2025-12,1403,0,0,0,0
Munich,2025-1,421,0,0,0,0
Munich,2025-2,439,0,0,0,0
Munich,2025-3,458,0,0,0,0
Munich,2025-4,480,0,0,0,0
Munich,2025-5,501,0,0,0,0
Munich,2025-6,521,0,0,0,0
Munich,2025-7,545,0,0,0,0
Munich,2025-8,569,0,0,0,0
Munich,2025-9,598,0,0,0,0
Munich,2025-10,622,0,0,0,0
Munich,2025-11,657,0,0,0,0
Munich,2025-12,687,0,0,0,0
Hamburg,2025-1,169,0,0,0,0
Hamburg,2025-2,174,0,0,0,0
Hamburg,2025-3,182,0,0,0,0
Hamburg,2025-4,188,0,0,0,0
Hamburg,2025-5,198,0,0,0,0
Hamburg,2025-6,205,0,0,0,0
