# SimpleSim Simulation Results - 20250624_225042
# Generated: 2025-06-24 22:50:42
# Economic Parameters: Working Hours=166.4, Absence=16.0%, Utilization=85.0%, Employment Cost Rate=40.0%, Other Expense=19,000,000 SEK/month

=== OFFICE SUMMARY ===
Office;Year;Total FTE;Consultants;Total Hours;Avg Price;Revenue (SEK);Salary Cost (SEK);Employment Cost (SEK);EBITDA (SEK);Margin (%)
Stockholm;2025;1404;1053;1501278;1270.25;1906994579;841040400;1177456560;729538019;38.3
Munich;2025;692;509;725689;1503.42;1091018520;533870712;747418997;343599523;31.5
Hamburg;2025;274;194;276589;1518.26;419934446;202005039;282807054;137127392;32.7
Helsinki;2025;216;158;225263;1318.40;296987141;133846577;187385207;109601933;36.9
Oslo;2025;203;144;205303;1340.99;275309455;138900672;194460941;80848514;29.4
Berlin;2025;177;125;178214;1583.61;282221693;125928110;176299354;105922338;37.5
Copenhagen;2025;153;109;155403;1596.78;248144234;120050105;168070147;80074087;32.3
Zurich;2025;65;46;65583;1973.82;129448867;84619330;118467062;10981805;8.5
Frankfurt;2025;37;26;37069;1641.04;60831162;27617641;38664697;22166465;36.4
Amsterdam;2025;27;17;24237;1237.07;29982962;17399495;24359293;5623669;18.8
Cologne;2025;33;21;29940;1552.64;46486029;17356320;24298848;22187181;47.7
Toronto;2025;5;5;7129;1496.98;10671336;2908417;4071784;6599551;61.8
NonExistent;2025;0;0;0;0.00;0;0;0;0;0.0

=== WORKFORCE DETAILS ===
Office;Year;Role;Level;FTE;Salary (SEK/month);Hourly Rate (SEK)
Stockholm;2025;Consultant;A;101;42840;1129
Stockholm;2025;Consultant;AC;73;44880;1137
Stockholm;2025;Consultant;AM;256;59160;1273
Stockholm;2025;Consultant;C;191;48960;1177
Stockholm;2025;Consultant;M;103;71400;1405
Stockholm;2025;Consultant;PiP;28;91800;2040
Stockholm;2025;Consultant;SrC;215;54060;1209
Stockholm;2025;Consultant;SrM;86;85680;1491
Stockholm;2025;Operations;N/A;67;40000;N/A
Stockholm;2025;Recruitment;A;6;42840;1129
Stockholm;2025;Recruitment;AC;4;44880;1137
Stockholm;2025;Recruitment;AM;4;59160;1273
Stockholm;2025;Recruitment;C;9;48960;1177
Stockholm;2025;Recruitment;M;2;71400;1405
Stockholm;2025;Recruitment;PiP;1;91800;2040
Stockholm;2025;Recruitment;SrC;3;54060;1209
Stockholm;2025;Recruitment;SrM;5;85680;1491
Stockholm;2025;Sales;A;7;42840;1129
Stockholm;2025;Sales;AC;9;44880;1137
Stockholm;2025;Sales;AM;15;59160;1273
Stockholm;2025;Sales;C;8;48960;1177
Stockholm;2025;Sales;M;9;71400;1405
Stockholm;2025;Sales;PiP;9;91800;2040
Stockholm;2025;Sales;SrC;9;54060;1209
Stockholm;2025;Sales;SrM;6;85680;1491
Munich;2025;Consultant;A;23;58710;1308
Munich;2025;Consultant;AC;38;58710;1310
Munich;2025;Consultant;C;93;60968;1369
Munich;2025;Consultant;SrC;130;69467;1448
Munich;2025;Consultant;AM;132;79823;1556
Munich;2025;Consultant;M;67;92817;1706
Munich;2025;Consultant;SrM;16;112555;1992
Munich;2025;Consultant;PiP;10;138666;1816
Munich;2025;Sales;AC;2;58710;1310
Munich;2025;Sales;C;2;60968;1369
Munich;2025;Sales;SrC;5;69467;1448
Munich;2025;Sales;AM;9;79823;1556
Munich;2025;Sales;M;6;92817;1706
Munich;2025;Sales;SrM;4;112555;1992
Munich;2025;Sales;PiP;6;138666;1816
Munich;2025;Recruitment;A;2;58710;1308
Munich;2025;Recruitment;AC;2;58710;1310
Munich;2025;Recruitment;C;2;60968;1369
Munich;2025;Recruitment;SrC;1;69467;1448
Munich;2025;Recruitment;AM;7;79823;1556
Munich;2025;Recruitment;M;4;92817;1706
Munich;2025;Recruitment;SrM;2;112555;1992
Munich;2025;Recruitment;PiP;1;138666;1816
Munich;2025;Operations;N/A;35;40000;N/A
Hamburg;2025;Consultant;A;7;58710;1334
Hamburg;2025;Consultant;AC;33;58710;1326
Hamburg;2025;Consultant;C;45;60968;1431
Hamburg;2025;Consultant;SrC;42;69467;1500
Hamburg;2025;Consultant;AM;44;79823;1622
Hamburg;2025;Consultant;M;17;92817;1844
Hamburg;2025;Consultant;SrM;5;112555;1869
Hamburg;2025;Consultant;PiP;1;138666;2012
Hamburg;2025;Sales;A;2;58710;1334
Hamburg;2025;Sales;AC;1;58710;1326
Hamburg;2025;Sales;C;3;60968;1431
Hamburg;2025;Sales;SrC;6;69467;1500
Hamburg;2025;Sales;AM;5;79823;1622
Hamburg;2025;Sales;M;2;92817;1844
Hamburg;2025;Sales;SrM;1;112555;1869
Hamburg;2025;Sales;PiP;2;138666;2012
Hamburg;2025;Recruitment;AC;2;58710;1326
Hamburg;2025;Recruitment;C;6;60968;1431
Hamburg;2025;Recruitment;SrC;0;69467;1500
Hamburg;2025;Recruitment;AM;6;79823;1622
Hamburg;2025;Operations;N/A;8;40000;N/A
Helsinki;2025;Consultant;A;20;50322;1211
Helsinki;2025;Consultant;AC;21;50322;1245
Helsinki;2025;Consultant;C;29;53677;1290
Helsinki;2025;Consultant;SrC;33;59269;1321
Helsinki;2025;Consultant;AM;35;65978;1377
Helsinki;2025;Consultant;M;18;76043;1417
Helsinki;2025;Consultant;SrM;2;91699;1622
Helsinki;2025;Sales;A;1;50322;1211
Helsinki;2025;Sales;AC;5;50322;1245
Helsinki;2025;Sales;C;5;53677;1290
Helsinki;2025;Sales;SrC;0;59269;1321
Helsinki;2025;Sales;M;4;76043;1417
Helsinki;2025;Sales;PiP;1;98766;2012
Helsinki;2025;Recruitment;AM;2;65978;1377
Helsinki;2025;Recruitment;C;2;53677;1290
Helsinki;2025;Recruitment;M;4;76043;1417
Helsinki;2025;Recruitment;SrM;0;91699;1622
Helsinki;2025;Operations;N/A;5;40000;N/A
Oslo;2025;Consultant;A;6;52115;1150
Oslo;2025;Consultant;AC;15;54558;1208
Oslo;2025;Consultant;C;28;61072;1234
Oslo;2025;Consultant;SrC;36;65144;1319
