event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000001,3cede4b1-cfd4-45fc-980c-01c52683bc5e,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000002,43747f7c-9e0a-4336-bd09-42b238086109,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000003,a00d0342-23f6-499a-a52b-1823ea26638b,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000004,fa748e32-09f5-46ee-8938-afcc6d3b87fc,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000005,fa476cc8-cd59-4d43-ba07-dd3652532b29,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000006,2acaaa39-dde7-4966-ad01-0c923a9832f3,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000007,8ca63354-49be-44a9-a6cd-3f7dd9605370,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000008,98e8814f-7604-4545-8b91-f34cff05dc68,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000009,8ab1939a-29eb-49cc-bd40-91901cb9e196,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000010,c8d2ae30-e062-48fa-82f1-19ccd82b046c,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000011,87bc1147-fc56-434e-8836-9a86372bd97e,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000012,e78e0c6c-8a38-4734-9e26-53faa8102487,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000013,63c13d43-c38f-49be-9165-73903443c5ac,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000014,3c90b1e3-a26b-413e-afe8-300b74066b5f,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0184ac7b-5b6a-4c78-a6a6-cb1d3d50c294_000015,0c41767f-3b10-4f86-a4d0-ea8d8d5f41e1,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
