event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0303f3e3-137b-438c-b62d-808220633a2b_000001,456a181e-985e-41b8-bef0-c2ab68e297a6,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0303f3e3-137b-438c-b62d-808220633a2b_000002,626cf8cf-7348-4a7a-8bad-834241b21591,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0303f3e3-137b-438c-b62d-808220633a2b_000003,101e6248-321e-4a3d-a58f-7523783f2166,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
0303f3e3-137b-438c-b62d-808220633a2b_000004,ab9477da-b2d0-490d-86b2-8120c4a4aaa8,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
0303f3e3-137b-438c-b62d-808220633a2b_000005,790ecd32-c8f7-47a9-b8b1-7e3b06d91121,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000006,52b67763-0253-410c-b607-a6eb65918050,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000007,69e0ac91-ec71-424e-88bf-05cf5dccdd34,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000008,eda7ae59-9a18-4f51-b0eb-75f50646b93e,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000009,ff0a9aad-28f5-4aed-a9f4-3ab8f2cfe39e,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000010,0335ed2f-44cf-4945-b7f8-7b554eefdfa6,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000011,d84b9128-933d-4e0a-816b-f1a4308e2311,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000012,d1b8a280-c6d4-4f3f-ac75-f7a022d9c2bc,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000013,4e2cb02b-4aea-48bd-951a-6fd79eb55806,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000014,a3f85345-dff7-4951-b817-edddca6d6b94,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000015,5caa6506-fe61-4031-9898-6d5cfc037024,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000016,01ca6f9d-bbf4-44ce-94a7-1aae43f96194,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000017,fe9d5580-f307-483e-9e53-ce3ffa2a6e7e,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000018,4d73bf28-2e33-4241-bfb7-8847c241cae5,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000019,c5845286-dd3b-4462-bbca-2cdcac9cfa8d,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0303f3e3-137b-438c-b62d-808220633a2b_000020,c1f81db1-9c78-4a2c-9327-276d475d6800,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
0303f3e3-137b-438c-b62d-808220633a2b_000021,d506e115-ec57-4ea7-8c8f-a14ec7c41d7a,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0303f3e3-137b-438c-b62d-808220633a2b_000022,b703ddf0-f92d-4769-9ad7-863e629a7321,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
0303f3e3-137b-438c-b62d-808220633a2b_000023,0b156371-dead-444a-b91d-465cf486193e,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000024,39af03a5-a293-4bd1-8e8d-784ef4dc11d6,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000025,0a444b6b-be9e-46d8-9602-eb255e072f7e,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000026,e54d73b0-100d-454b-b766-d295c4e10702,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000027,c5912808-8990-4da1-9a91-7fb9bb0ad639,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
0303f3e3-137b-438c-b62d-808220633a2b_000028,b510807d-7afa-4ae9-9063-f64b485062d0,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
0303f3e3-137b-438c-b62d-808220633a2b_000029,4a02c2f0-dbb7-4a95-a3fd-42111eccb9ed,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0303f3e3-137b-438c-b62d-808220633a2b_000030,ffd8f2c0-5e25-4286-b030-734837f18b14,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0303f3e3-137b-438c-b62d-808220633a2b_000031,fd4ca16d-5639-4641-8b4a-da1c085a854f,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
