event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
054aa673-d73b-4715-8664-f745371314d3_000001,b8472d04-6a4d-45de-86b7-ab8851925fe9,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000002,72bc053b-d1b6-4842-8e9e-4e82dde04000,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000003,f755775e-391f-43d0-8e00-e6579a706907,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000004,0357b515-f366-423d-9be7-112647060c28,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000005,37f185ab-8c7b-4bb7-9498-1272ecbe244d,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000006,773b657a-7d59-48b3-bb8e-877d5e963b96,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000007,b954dd62-1409-450d-9175-b74e231666db,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000008,dcd6145c-4aee-4dd4-964c-5a64fe47aafa,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000009,ed087694-4451-4eae-9f38-8071a60eb57a,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000010,0c298a5d-f9c6-4566-92c4-157617fca5d3,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000011,5904e9a6-eb7b-47ec-9667-40660941913c,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000012,4609a032-abe9-4b79-8125-244a9a46a6fa,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
054aa673-d73b-4715-8664-f745371314d3_000013,cb643ade-6fa2-43cd-89af-833f75e175b7,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
