event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
05504702-855f-4ce7-aae3-840d30cddc8b_000001,9aecb457-35bf-4a30-89a6-51843d0af730,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000002,eca68d53-8d22-4f5c-b5cf-9490400fec30,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000003,5a8a7fec-a9d5-4a64-9d9b-45141e3003ae,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000004,06323bc0-c0e1-49c6-a235-d76870927d8f,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000005,21d43c62-dc43-45dc-9db3-94fe9f0e925b,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000006,120f2642-4ef6-41a3-9e2b-762fd71cee71,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000007,6f6a60d4-a056-496d-863d-2956080f79c1,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000008,52b605f6-66d1-456b-bfee-3f694e8c4cc0,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000009,77eae5da-3f0e-45ec-9b78-6949b85a6e08,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000010,31ccc686-575b-4ad7-b665-ac6fdeae6634,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000011,ca879c55-b9f9-4ba2-8195-086d0fcb4195,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000012,404c3951-7daa-4d9f-96e0-7c09bd6b8858,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000013,8fd62ebe-c274-4dfd-a32c-e97cad18b7e5,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000014,4d0194e3-6207-4805-a139-2a6943f736ac,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000015,2bc91e9d-4f85-4738-abd3-72928888e500,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000016,ba117efc-9d2b-4c00-9a90-c5222c40962c,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
05504702-855f-4ce7-aae3-840d30cddc8b_000017,dbb77563-999a-4a5e-b841-29392285ca3a,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
