event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000001,4f68b4c7-0975-46be-b553-9a59d4e72739,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000002,70c9d91a-f498-498b-8e35-4043da71b0cc,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000003,2abf7c2e-3cd4-4465-bb58-22dac81cc524,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000004,78ec302f-1fd5-41bf-bee6-ba3352aefa29,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000005,f4910c20-a66f-4c79-bf5e-b3cf5000d618,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000006,37f78ee2-dcfe-4343-a714-44ff454c87e9,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000007,8f563d6c-e157-4c44-9b0e-2976248428e1,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000008,890bcd7e-4497-4bd5-81f5-f1196dac874e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000009,341cd803-227d-485c-8c3b-3358bc59f219,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07c1bbbf-4702-46e2-8259-66cb6ac32ad5_000010,23a93243-1b73-4171-99d2-07fb98c5edbd,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
