event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000001,fca9d270-92ca-4d05-b8ac-df0546fc8746,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000002,eee7ee0a-9c71-429e-bb90-4174c1f7ad14,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000003,4d41ede6-1629-4d56-b5fb-9804183ab57a,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000004,7979f6e7-3fbd-4019-af9a-4ca4834693c3,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000005,7ab25caa-004a-4e86-8242-7d88e8176c3c,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000006,4e4a5632-4845-47ee-9031-079f3ad60dc2,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000007,c2fbfaee-47a6-4142-8a5f-6aa4e53b079a,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000008,3d3f671d-20a9-4fa3-b030-cf020c078d4c,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000009,ee5674f8-fa13-4ce4-b645-f40b98eb81ba,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000010,b366fb6e-0883-47f3-919f-31e6ff22c7c4,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000011,9fca960c-1d23-4952-a57b-adf23f010bf9,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000012,8c69829a-899d-4fdf-b4d3-dafa60fe65bd,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
07f76849-f4b7-4013-b5cb-0d5f52f5fde6_000013,72fb66ca-904c-423e-954b-54bb356bd775,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
