event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0a4be911-4485-43c5-a961-dd4de418852a_000001,f558a621-92fb-483e-b03c-53d015a928f5,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0a4be911-4485-43c5-a961-dd4de418852a_000002,b610810b-e115-43ea-a1f6-6ab6237f97dc,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0a4be911-4485-43c5-a961-dd4de418852a_000003,2b225114-f4b0-4598-ac16-202ee3291920,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
0a4be911-4485-43c5-a961-dd4de418852a_000004,52609d4e-c178-42d8-b4d6-809e33cc6703,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
0a4be911-4485-43c5-a961-dd4de418852a_000005,3d712b9f-c6d8-4217-a972-603934e2ea99,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
0a4be911-4485-43c5-a961-dd4de418852a_000006,a397861d-9669-4f6c-89b9-0aa102523b33,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
0a4be911-4485-43c5-a961-dd4de418852a_000007,1e0c40ef-ffcf-4a5e-bea7-bab5f74c3c79,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
0a4be911-4485-43c5-a961-dd4de418852a_000008,c195bc05-0856-47e7-a3ed-98fa65e6c0bb,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
0a4be911-4485-43c5-a961-dd4de418852a_000009,7794f2cf-3659-460e-a8ce-089a8395f182,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
0a4be911-4485-43c5-a961-dd4de418852a_000010,caa82fb8-d910-4bec-993c-97796b613361,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
