event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000001,a92ab1ff-f8b1-4b41-8897-6156e9467604,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000002,efe855cb-3f42-490d-9a80-4e9c65d13470,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000003,97a80f89-21d2-4b20-b6e1-5b9d93be5166,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000004,7d741885-8914-4f0e-be29-1105605c9ab6,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000005,82579193-0ff8-4763-8c35-cc8c747345f6,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000006,23cf9eae-008e-45b1-b0dc-28812c08667c,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000007,3f0df76e-b718-4d02-b3c8-b8bd46faa3fa,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000008,ee3942ba-45d2-4683-bb31-14fff564f0b7,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000009,a52ce421-afbc-4f91-a080-c95aa1940637,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000010,be4a8c38-0d44-4589-ba54-16903624a602,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000011,a2920c93-9221-4c31-b931-a05b93add1e0,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000012,cdf712ad-41d8-4fe7-b025-5adb91442d05,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000013,f19e356f-80d9-4928-b72e-0b44b7349e6b,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000014,4b9f5479-fd8c-4314-9d1d-89f714da80d6,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000015,17115c66-19a2-4877-8cbb-ecf7143c0108,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000016,9eaf3677-dee6-417d-b0d0-f7b9b86a9661,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000017,e846d4e5-35ca-46fa-94a5-03e2f3570a17,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000018,5b24c72f-ea70-4cb1-8840-8c3f75499c1f,recruitment,2025-01,4,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000019,da50f3ed-8502-4353-b194-3fdd76865e5f,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000020,8cd4ca49-944c-4a7f-b084-032e086ea34f,recruitment,2025-01,5,4,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000021,0b613963-b1ca-4e96-b908-e55651e7496f,recruitment,2025-01,3,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000022,a4738944-ec54-40a0-9fb7-fa1e7ce22d0e,recruitment,2025-01,3,3,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000023,5614e5e6-5322-40e6-b07a-bf4586612a05,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000024,2f39568e-c36c-4a16-b27d-bbadd024f675,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000025,02d6ebf6-721f-4fe8-a899-fe7027d86f67,recruitment,2025-01,6,6,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000026,2af92895-ff53-4e35-8895-9562b0707d32,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000027,da53629e-e125-43d2-b7ff-7d6f165297c9,recruitment,2025-01,3,2,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000028,68bcb087-e631-422f-8156-f4b9805f1f74,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000029,10cb90e5-8166-4f74-b314-50e2fbc76400,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000030,f39d570c-a70f-446d-8b65-8604ba3e300b,recruitment,2025-01,2,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000031,19dae188-a689-4b6c-95c5-10de48f7c798,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000032,a4dada41-f73d-44be-a3c9-0feef8496ef2,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000033,b8d3ab34-0227-42d0-9cce-317ca4590818,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000034,3e741c11-f9f4-4751-b254-129d4b33a55e,recruitment,2025-01,4,2,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000035,40528457-e81a-4958-aef9-57fbf02fdb04,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000036,a7845581-9758-4c66-983b-5cae77e5a326,recruitment,2025-01,5,3,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000037,e65a616a-485f-48b6-9632-1295173ed9c9,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000038,8cec1561-d50d-4097-a1db-7e9f673bcda0,recruitment,2025-01,3,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000039,1e4b3234-8612-4cfd-a645-e2f99000654e,recruitment,2025-01,4,2,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000040,bb805c24-fb0f-4352-b906-def4211d895f,recruitment,2025-01,6,5,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000041,5dd8fc31-4ae1-4f9a-b160-e741282d86b8,recruitment,2025-01,4,4,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000042,aba488f5-dc15-4641-878c-192e8f2ec67c,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000043,391584e3-3ec2-4d0f-9100-6cbe4f170b71,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000044,86c62760-92f3-443c-b773-c4fea1ef9334,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000045,935303ac-9652-44a8-a760-b69c657e5833,recruitment,2025-01,5,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000046,51426fd1-24d1-499d-a903-3787b3688ba2,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000047,e25ca013-25ee-404a-bca3-becfb0eca0d8,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000048,1f89e0eb-eb37-42be-8c53-b797c4a67875,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000049,3ec3c591-cdf1-46ca-a838-c57bb0c6e1eb,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000050,90809927-b926-474f-81cc-68c753f68ecc,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000051,61fc938f-843d-49cc-a7f3-7f5d3f698f01,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000052,4158eaad-b466-462d-9e2b-743933eb2028,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
0b76f190-a11d-48f9-8978-09ea9b37f7f9_000053,d3a3998a-1f6e-4128-a6ab-057604f2c2da,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
