event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0b9ac0b0-0bf1-4221-8500-9433722791cc_000001,13034f64-f41e-4126-b592-3f2d74e8ce9e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000002,37d24198-0f93-4e3c-af82-01a4e18aeef0,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,0.919,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000003,48322136-1c1a-4b52-95b6-af44e4f31644,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000004,dc6f1445-145f-450b-8c1e-cc10cbc7c22d,promotion,2025-1,97,34,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000005,c89884e3-dfd7-410e-9105-7d542ed0eaa6,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,M,CAT30,0.234,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000006,106546ed-d800-4d4e-b5ab-9dbff846053a,promotion,2025-1,31,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000007,465017cb-9358-4bb6-95fe-9c2452cb0a25,promotion,2025-1,32,14,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000008,2d868d3e-5970-46c7-98a0-717627583264,promotion,2025-1,27,12,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000009,fd853505-bc16-4b19-9b59-837745fbd002,promotion,2025-1,33,18,C,Consultant,Stockholm,C,SrC,CAT18,0.597,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000010,76a8cb15-d9ec-4191-a19e-40dcade24e2d,promotion,2025-1,32,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000011,db9ddee3-3bfb-47f2-86bc-4d8ee8b0e6de,promotion,2025-1,29,13,C,Consultant,Stockholm,C,SrC,CAT12,0.442,,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000012,b470eb18-24e1-420e-beb3-e9e2c730639a,churn,2025-1,76,26,AM,Consultant,Stockholm,,,,,0.014,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000013,a49b2ec6-caeb-4f95-abbd-fe022acf89e3,churn,2025-1,64,13,AM,Consultant,Stockholm,,,,,0.014,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000014,4fe0a6cf-9d3c-4366-a9c0-cc05031fd4f6,recruitment,2025-1,0,0,AM,Consultant,Stockholm,,,,,,0.01
0b9ac0b0-0bf1-4221-8500-9433722791cc_000015,5c80e204-3b35-4390-afca-42ed6d9ac8c8,churn,2025-1,22,2,C,Consultant,Stockholm,,,,,0.014,
0b9ac0b0-0bf1-4221-8500-9433722791cc_000016,6834b419-c94d-451b-b0d7-59fc25dbdda8,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.01
