event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0d402578-3139-4f2f-82bc-9e41257de222_000001,08135f96-e648-4db0-8fb2-ae51365d0499,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000002,c6f84609-849f-4868-86a3-50a8451fe182,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000003,2f98f7df-b7ff-429f-bd95-1d5c7b7e0a46,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
0d402578-3139-4f2f-82bc-9e41257de222_000004,089f7566-a1d8-4b45-8f12-e13eee60bf46,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
0d402578-3139-4f2f-82bc-9e41257de222_000005,e59e7c73-a5ca-4202-94fe-ff38c0853240,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000006,479f4078-77ee-4a29-a375-98b75b891400,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000007,483161c8-cd89-4836-b434-673b44d7c14c,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000008,4bea145f-c61e-4df5-adb2-326dde4904f1,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000009,e885058a-2fa1-4be1-99f5-ed7f39edcd80,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000010,4f146374-5c3d-4a58-8138-ebb774c65db7,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000011,6bf6f88b-b4bb-4ebd-8342-13a6fd37dd4f,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000012,2923bbe6-0832-4c09-992e-0b5faa069fd7,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000013,6ee616e1-a3b0-4395-bed3-88fc2544e865,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000014,d7d511e5-f787-4d70-bbeb-ef3f0fcf5a36,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000015,563ede86-0a35-48fe-bbf9-82d3cdecf971,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000016,cdb3761e-434b-4ae6-b0c5-4b961120319a,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000017,98deb09b-8ccc-477c-badb-13bc0443e72e,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000018,f2aeb3f2-0abe-4be7-b31a-57491163fb7a,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000019,f2d3b0bd-d076-42c9-b28f-631c98fd8682,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0d402578-3139-4f2f-82bc-9e41257de222_000020,1eb1c4e0-9604-4c54-8224-3e20e528ffb5,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
0d402578-3139-4f2f-82bc-9e41257de222_000021,bc2b8b20-7d85-464b-9e96-bcab304a8908,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0d402578-3139-4f2f-82bc-9e41257de222_000022,345c8210-7ce3-4e01-a55e-a6860b335e06,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
0d402578-3139-4f2f-82bc-9e41257de222_000023,4a3d40f2-c359-4d08-9413-05945d879fb6,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000024,d76fa704-1dd4-4e7b-81a3-f1029e087dd1,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000025,a1dc8d7d-596e-4aab-870d-407e614a6651,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000026,c5129545-4e5d-40e4-83e9-a86d5586d871,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000027,0ad0fef9-c287-48b9-a370-ab5c4bbfb1d5,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000028,98af3626-56ea-4f7d-af01-c0ed3b71b826,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
0d402578-3139-4f2f-82bc-9e41257de222_000029,8fbe2e23-0b2d-471a-8d1a-e96841460c80,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0d402578-3139-4f2f-82bc-9e41257de222_000030,6ba3838b-9984-4e53-9e26-1f069e245166,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0d402578-3139-4f2f-82bc-9e41257de222_000031,d5293f59-fe2f-4220-9b1a-89a25a17d539,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000032,d3d6e865-6ad1-4782-8cc8-acb2fe33da53,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
0d402578-3139-4f2f-82bc-9e41257de222_000033,e80879bf-49f4-42cd-bdf2-573e238aaba1,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000034,d135cf68-e1a1-4361-b61d-2cbb32098dc4,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000035,4f002344-9df9-4931-bbc7-99de75bd699e,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000036,0ec511d5-c2f5-4085-96e3-b6a632aef5ca,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000037,cbd37620-f16d-49c0-a315-734d395e9979,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000038,ab77bc5a-05f1-436c-b008-56ab8d0c4b21,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000039,a1adb18f-6228-46b4-962d-f2cd5958d330,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000040,77388ead-e659-4aeb-8b76-a64d8deb1b97,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000041,64fec708-c85e-4342-b62a-4e1faa1d410c,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000042,befcebcf-46de-40a7-9a5d-4578f1ea17c3,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000043,145f4386-6438-49f0-8f56-57165b8bf232,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000044,608fb589-b21b-45f7-afe8-1d05d5c0626e,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000045,00af0c1c-6f4d-4d8a-bdb9-2d0918ead5c6,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000046,ebccda3b-e02d-477b-999f-07345b0cf676,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0d402578-3139-4f2f-82bc-9e41257de222_000047,61b0daae-2935-4f95-a442-f4827cb3fe0f,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
