event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000001,8520989c-5412-4c12-8580-1dbcccc05f46,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000002,3d2e46aa-89fe-4a0f-b515-9311b198bc96,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000003,1937d161-1e57-415c-ac8d-9e2887dfa091,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000004,299d61c2-b750-47e9-9060-aa3158c6ac4b,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000005,37747ee6-2885-47ca-85ed-469cfac65d51,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000006,28ca8426-4084-407e-8fd6-278b8de4cdda,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000007,dbec2dd8-b5c9-44d4-9dba-6e397d1c3849,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000008,7d79a415-5507-4e5d-b576-d9098dcf391a,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000009,64733b03-8fda-45fb-ba0d-91556272c5d7,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000010,a1833834-8b92-4512-b299-8f2a771e91df,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000011,dc33c27f-b21e-4c47-90ad-9cf79e0a1915,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000012,944e5919-56e1-4a92-a51c-87149c6e35c8,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000013,48cb08d2-4011-4b08-b75f-2ff47985f611,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000014,fff91a38-7232-4087-b0db-a697612c4786,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000015,3d18b96e-378a-4108-a096-8d1ef719b50b,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000016,d50d4743-1e92-4550-b821-711a997de739,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000017,57992182-4559-4897-a170-000fec57b4ef,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000018,f0c1a40b-a5a0-466f-a119-eda8d1ef75d9,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000019,320c268a-2223-4d5a-ae55-dd2d5f4d0de6,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000020,9d173cbb-1bc7-4e08-95aa-c616742b069c,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000021,b99bb686-56fc-4648-a25d-0ae1ed3fb182,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000022,22740d6b-299c-43a1-97f0-364ed01af343,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000023,f2051fac-64ca-4304-a535-f1895db0c005,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000024,b2a0f425-275d-45c5-9595-677c8eeaca74,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000025,98eada8c-f4d0-42a2-9052-25dd6403d1b5,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000026,4799c782-21db-418e-ad67-eed68cf7d7b0,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000027,bf50ee9b-05f8-4954-a227-bde2c957bf94,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000028,beb670a1-7656-4dc7-9b1e-691f7ea8dadd,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000029,fe494f58-4bf0-4e1a-a564-951d2ed90a93,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0e15e3a0-072f-420f-af66-08a2c38ae0a1_000030,2efdc572-5b46-4351-ae4a-159ad2586d26,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
