event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000001,61249c82-15cf-47a9-9972-50023e1961ef,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000002,cb6bf102-3cd8-457c-b826-0d6281fbb628,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000003,865e5059-1745-4c76-8659-6aa33abfc631,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000004,855a13d9-8d62-4922-a83c-1d022bf63076,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000005,33c8d709-d083-4b57-bddd-9eac4368134d,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000006,3a9b2586-00fd-4de6-9956-a1c3f5cf9e2c,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000007,b1cd741c-9424-42da-8d99-85b57aaee07f,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000008,b992f698-14db-4b72-aa0e-98dd0cd66c6a,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000009,23834a2b-5172-4300-8140-9cb373b2eea6,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000010,e47cf24c-c05c-4bf8-9ebf-3a092eaf2f8e,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000011,a320a249-88c1-4065-864f-bb95e38bee19,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000012,757f2e5c-f391-4686-8e36-92cb027c756b,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000013,30d079ca-2c33-48b2-8b72-fd9200e95f82,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000014,f53f0c15-b038-45ed-a7be-9e58b843e782,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000015,6ad725b0-7c89-4dae-8b76-293c4706ae50,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000016,d1dd4623-6e93-43da-b043-225f07d09086,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000017,1ff8a991-beca-4cb3-80fc-bfd86b6f70c5,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000018,47dcb0fa-0741-4298-8bb1-ce9c0b5ab4db,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000019,3055334c-7b9b-4786-b865-8e350a1ac502,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000020,d8ed280c-bb94-4e7c-88df-46e6358f5d19,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000021,5726d0f2-428b-49e9-9b21-413f88a6599f,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000022,48cc8b00-d077-4980-8658-1ad9840cd6e0,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000023,28fec303-0aab-4583-bd8b-81ccde073f71,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000024,3701dbb2-7a10-4cd6-a427-2052dc35fa12,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000025,698289bc-2c1a-483b-9a14-7e5bd58b1eb8,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000026,1db466e5-a020-4603-bd52-5bb2300d2cc4,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000027,0bb84a19-4871-4799-b02e-8aac0884625f,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000028,276751a5-1945-44ed-99da-28b8390e7be5,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000029,4ca6d2a6-8c5c-4ae3-8206-1e8b7733b064,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000030,9cbb09bc-ffc0-4a7a-8c16-728380379286,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000031,f3cef02c-8034-4c2a-9b32-a5bc14508689,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000032,329b78e0-8ab9-4290-8887-c710ccc061cd,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000033,487b8756-2a44-40e2-8c6d-ab2470a0c707,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000034,d09125d8-d2ec-4a06-bfa8-20ced121386d,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000035,ac2b5fc4-d83f-4a36-97be-6961aefb6147,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000036,b00d9795-0724-45e3-95ea-8d15f7f8c00d,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000037,8acff030-21bb-4ba3-9645-63852ab3cbcf,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000038,70f4fbf6-1d7f-4222-b53e-9ed29d7b9369,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000039,5e3e652c-d6a1-4988-889d-34b36821a7a9,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000040,da0efc20-5e65-434c-938b-24125f58aa73,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000041,12358060-d32e-4042-a53d-50691007b1a9,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000042,694568e1-25c3-489e-8d6a-0dd439873ba1,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000043,611030a2-02e0-4387-8528-1df264753dd9,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000044,4e2e75b0-7a5e-4e74-9b56-05da333d2006,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000045,a294d055-4b08-4b0f-8aac-de4df37b1fcb,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000046,1480a1c8-ce39-4fa6-b5c7-2994add419d6,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000047,dd03f72a-8a55-452d-86b1-50143de1e50e,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000048,773f28b9-44ea-4710-8a14-22ce383b1bb8,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000049,62248bfe-f575-49c3-a51c-02da88fe3b99,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000050,6d0d7162-1aec-4566-bb95-3f1b92a30abd,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000051,36895134-d9b7-4308-90d8-fac2238e3e70,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000052,a3893fc0-3ab4-4ed0-88c6-ba21df01f85e,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000053,b4b93e32-225d-4934-9d68-2f9bc51cff62,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000054,951a6ad1-960f-4d07-a38d-6fa45ab90423,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000055,f11f410c-7ead-418e-93f0-480efc66c2ab,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000056,c84cddf5-d618-437b-ac97-b8f3967e643d,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000057,bd4ba358-4277-4bed-b80a-8e058c32c1b2,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000058,d6721fdc-9079-4fa3-a3b3-d101214bed94,promotion,2025-4,9,9,A,Sales,Hamburg,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000059,e3d50eee-f5dd-4f6d-a8bc-59f225afe776,promotion,2025-4,8,8,A,Consultant,Helsinki,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000060,3aadae53-2e1a-4348-9a95-99ed46efb499,promotion,2025-4,7,6,A,Consultant,Helsinki,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000061,0939da69-f92f-49d7-bd28-bc4f42794e3e,promotion,2025-4,8,7,A,Consultant,Helsinki,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000062,a24cdfdc-c251-40af-81b2-fd5987558601,promotion,2025-4,7,7,A,Sales,Helsinki,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000063,670ad24e-fd40-41d9-8766-e925610167b1,promotion,2025-4,8,8,A,Consultant,Copenhagen,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000064,bb701cb2-33ef-4d1c-9779-106e7805aaf7,promotion,2025-4,7,7,A,Recruitment,Zurich,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000065,476a283d-7933-460a-8730-83354f5a9f79,promotion,2025-4,18,9,AC,Consultant,Frankfurt,AC,C,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000066,75aae830-e88d-4b33-b995-ce30270a54f2,promotion,2025-4,6,6,A,Sales,Amsterdam,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000067,9f5f6437-582e-40b7-9097-f9240dc4a8ce,promotion,2025-7,11,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000068,d604268d-53ed-41af-a920-b2975267ede7,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000069,42bd6a28-5897-4ae3-a522-439566225e3f,promotion,2025-7,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000070,d5835a5c-929b-49fd-8003-447ed5853776,promotion,2025-7,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000071,0d03a195-7393-409f-beb9-38fbc3569b2b,promotion,2025-7,11,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000072,7484e0d2-8fec-4f6a-8d55-0ed3d272dabc,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000073,9763a941-92af-4a8e-ae16-c6a295ad898c,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000074,e2de7cc5-4c23-4c09-a049-643237362a0d,promotion,2025-7,10,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000075,4417553c-bf16-470d-9895-53d2baa19d13,promotion,2025-7,10,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000076,3b35db0b-af60-4ff9-b9c9-fa85ce18858e,promotion,2025-7,9,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000077,7456b19d-cb8b-49ff-bb26-8d747a382c6b,promotion,2025-7,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000078,57126d9f-7aee-4f28-8ad6-0337122a3091,promotion,2025-7,12,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000079,f5a98f12-7c35-46e6-ae64-d03151ba800e,promotion,2025-7,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000080,57672945-67ee-4d0f-8a41-f4f658c5e409,promotion,2025-7,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000081,05fd39eb-94cf-4dc7-ad1d-9274eec4d396,promotion,2025-7,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000082,4a7a8aff-fbf7-4040-af7e-94efda3a381a,promotion,2025-7,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000083,bb930511-f0f3-4e20-8909-4a68866dea9d,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000084,ae1078ce-c19f-479c-8e3c-0ba8cbcea9d8,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000085,272c7d54-6a5a-45f8-8aa9-2668c5fbad73,promotion,2025-7,12,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000086,6af35266-42f9-409a-ba55-a46618a4982a,promotion,2025-7,10,8,A,Consultant,Stockholm,A,AC,CAT6,,,
0e3d230a-7f7d-4fde-94a8-d0216ec87e7f_000087,dcac4023-6a31-40cf-a04f-3ccd5e51976e,promotion,2025-7,12,6,A,Consultant,Stockholm,A,AC,CAT6,,,
