event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0ec8a680-d878-4287-8caf-df8eda2714c9_000001,be4bc2c9-70c4-41d0-954b-0002705f406e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000002,87ad9c0d-e150-4358-ac5f-83752e23044f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000003,7730f286-7deb-4eba-b1f6-37fe8e24719a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000004,bf79c9e0-cb87-4cae-9c1c-e03d136ada5e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000005,81582538-710d-48fc-80cf-049f6917c533,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000006,4698b157-5f76-4665-a046-28e97cb3d434,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000007,75825ad1-0ca8-415f-99f3-0e5b33b13b8d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000008,90f7f150-5dc6-40db-9cda-b431e6497c4a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000009,0344c863-8989-4288-a35f-ab2c1dc4576e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000010,b7097592-6f2e-404d-b699-a726a2a41b2b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000011,37e4018b-85cf-4317-9adb-90251f20ede5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000012,f0982958-b5dc-43d7-b71a-24d594443b9a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000013,c2359388-ac28-4d68-a5eb-f90180d5f23d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000014,779cbf2f-8dd9-496e-b8f1-164f561fb3c8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000015,e6f8bd6b-3022-4d49-84ff-56e3f9e6264e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000016,c7c4c38b-3c60-4ec8-930b-c21584fa7132,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000017,c2ce864a-aa28-4088-88c5-a0bb4395192f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000018,809d0982-7795-4458-8d8c-6f6e781d1780,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000019,18db9594-4510-4121-90c9-194071aecc34,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000020,2dd92b44-47ee-497d-b74e-d4a375dc8974,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000021,46772a2e-d58c-4b1a-b962-e6d4e2ad3bdf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000022,41a5e674-866f-48c0-aa83-89fbb90145c4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000023,b223786c-5c6e-4e3f-afd6-14e1c457c055,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000024,255146ad-d802-43d3-8700-f12bf42d1ac0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000025,d0c95838-cacb-4307-ad6c-300d4aebb1ae,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000026,6b81eb1a-00ea-4472-811c-c515788c3492,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000027,12d1e4d8-1791-4674-bb75-792218089989,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000028,3276c6b5-dfca-4871-9e72-f7d75675d10d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000029,2399ac00-0f9d-4997-8497-92f67982befe,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000030,8337d66b-ecac-4c73-9ed1-01225d5215ac,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000031,657180d1-43f3-48ff-808e-f469e13d3ef3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000032,0cbade30-db11-4254-86bd-dfcc8745bcee,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000033,21ce3234-6bc9-41d5-8194-48e920e33c5c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000034,7957588c-09d0-48d2-9c06-accd45666a02,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000035,ab41aef9-7460-40c6-99f8-dcfa5913def1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000036,6b558b11-958b-4c1c-908a-0f61e7191815,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000037,894e3945-9598-45b7-af08-633291defc90,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000038,2be1e99e-c117-4918-9b77-de51ad79cc71,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000039,36f6a636-ff6e-49be-a759-5394df9fcb72,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000040,73be4c7a-4846-4409-ac34-70981f522aa6,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000041,babe8caf-2c93-427b-a7cc-4f2dc8b2fea7,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000042,aa28192d-b59d-4f69-9352-4ecba8b2da42,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000043,6839f229-2e2b-4312-b39b-75b86923884a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000044,bdf398c9-b8a0-4550-8f09-85a608c93cb2,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000045,2fceeade-6f79-4606-a5be-03b47dfc698f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
0ec8a680-d878-4287-8caf-df8eda2714c9_000046,1784eb4a-edbd-4a46-a867-8c5cd5f36f34,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
