event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
0f601fe2-821e-482d-862c-590b513ef544_000001,51227c1b-47ba-4a2d-bd48-35e8cbc092a1,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0f601fe2-821e-482d-862c-590b513ef544_000002,f1b3e9f8-f917-4ed3-a025-80b6942d6a36,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
0f601fe2-821e-482d-862c-590b513ef544_000003,ab4f7566-5007-4012-8dd4-3115b55a0d8d,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
0f601fe2-821e-482d-862c-590b513ef544_000004,55a151dd-a5be-4329-bed7-a6801b58fedf,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
0f601fe2-821e-482d-862c-590b513ef544_000005,16545096-1ca0-41dd-9d97-7324d71006b6,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000006,67217ce6-3b9a-44d6-9a63-07965a626d0c,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000007,a6dea5cb-2767-4632-ae8d-83716ed81ad8,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000008,5f588ec8-103e-4738-b0b4-15e9fec6ba35,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000009,e5d8bbb5-2848-49ad-bb67-1ccc77d7181b,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000010,7505143d-0aa6-42a5-b4bf-b1a5b3f9d1fb,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000011,565c0527-e330-4733-9c53-d084607a2389,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000012,511477ba-c277-4fb3-b3fd-39c108d3c582,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000013,d66875a9-a8df-463c-a3f0-d5c530464faa,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000014,8d8cf3aa-6455-4f32-b5c5-532a58bed3eb,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000015,c4d247c9-9a6b-45a6-b6cf-8166eff2c565,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000016,766b835a-e95f-454c-94c1-e7eae39cfdc4,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000017,de4cb7d4-ae79-47b2-96dd-7dd5f5091fa2,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000018,c73cf450-47d7-4a69-82b2-d534ade58b3f,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000019,81d97622-19d5-47c2-9573-91c584135428,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0f601fe2-821e-482d-862c-590b513ef544_000020,1e024db2-a615-4966-915e-94f2a87d38f7,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
0f601fe2-821e-482d-862c-590b513ef544_000021,516f488d-1b16-4819-8da2-70a008488be7,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
0f601fe2-821e-482d-862c-590b513ef544_000022,8d9b27f0-f705-44bf-a735-9870b92dd657,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
0f601fe2-821e-482d-862c-590b513ef544_000023,23d6bb49-0f14-4e45-aa82-cf700555cdd3,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000024,8a97783b-43a7-4378-9690-603d503c0350,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000025,dca3a409-0f80-4fd8-8bbc-13c7ae33d31d,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000026,5cdbbf6c-7d93-4627-b061-f68ccb87c482,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000027,89825846-f718-45bf-961e-c9ebbc4fc0f4,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000028,c58dca28-5f06-454c-9851-9ecae4caae1e,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
0f601fe2-821e-482d-862c-590b513ef544_000029,40c238d8-e530-4b26-bb5c-d7f9ea0da279,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0f601fe2-821e-482d-862c-590b513ef544_000030,1a421763-7491-4b5a-b2a1-2c0b0a84d292,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
0f601fe2-821e-482d-862c-590b513ef544_000031,65542df8-5344-4c61-a119-bebf70f7681f,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000032,b10749ef-2478-4560-a69e-42bea752c2c5,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
0f601fe2-821e-482d-862c-590b513ef544_000033,e0a5ac30-0499-46a8-9110-457296d2c35c,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
