event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
10631138-cfa1-43ed-a3ca-f34785aa70b9_000001,9db417a9-77e3-4301-ba7a-ed601d907808,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000002,42c22cb8-2c7e-4a51-8122-9b5a44b2ae97,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000003,50a4aa05-ceed-4a96-a344-e93b82b69b96,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000004,705b6487-7d25-4061-be12-95beb035e998,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000005,141bf788-c2fb-4af2-9b0d-81c7a2545877,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000006,b1be7c5e-12bd-4476-a01f-f2deb223b55e,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000007,acb50031-fd05-4c20-a95a-285c4224da0c,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000008,abae8639-e2bd-4955-8732-d6c1641e07c9,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000009,f00b1f78-e11a-48e3-8b3b-8ac58de97457,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000010,b0a8586a-0c62-4f1a-a166-3a8f3b8e9f8d,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000011,8e69a168-a241-4a6f-ae1d-684d1ea01ca4,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000012,a8ec5076-2c18-40ce-8532-8384dc4ab054,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000013,1fd341a0-e68e-45c5-af8f-97cb50f756c1,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000014,08cfe7e4-2169-4476-a90d-cb41eeeb0a71,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000015,a060d2cd-b893-491c-b07c-84e9e0666c09,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000016,956756a0-5f9f-4096-b3a1-94d32de3680a,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000017,9e6e66a5-aff8-4083-8f16-18456ed5baa3,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000018,77cdff95-155e-4dc1-8a0c-fa8ab3057d28,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000019,860edbc9-e1b1-4f2f-aefd-6a911bb12468,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000020,8c7af890-7dc6-4261-85a8-7deee67ef21e,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000021,9822f8bf-f737-49df-b542-74172963a86b,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000022,8ecba07a-0b3f-4739-9f8f-10be4a3132cf,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000023,44ded384-9017-4354-b599-406308dbf7f6,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000024,e5b5fd9b-0f9b-4875-a2d1-eebab63d76db,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000025,e95f2b60-aa84-4143-afc4-db9828cb8a02,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000026,6d4fdb91-058c-4a64-96d2-67346a514275,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000027,2aebbd56-ca41-406b-a6e5-247cf40fd84f,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000028,56e5448d-4d76-42d6-a583-4249a9b4bc42,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000029,e4a15170-bab7-45e9-b753-79d5a21a21e3,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000030,f743e474-2c3b-4843-88eb-a497cd85d6f9,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000031,ad62710f-cdbf-4446-9c0a-6459e4076f06,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000032,eef61407-d8dc-4702-8a79-643e6b5b1bdf,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000033,a0aca675-cfc9-4fb6-a53d-219e29f8e5f2,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000034,8cbedfc9-77e6-470c-b565-4ec6d43e80ef,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000035,0121f262-f062-4f35-aa49-75211f0d8ba7,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000036,7970bc8f-aec0-482f-871f-6021dd19ed35,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000037,38d32f59-0df4-491e-b503-793294e8e6f8,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000038,db11a0ba-5264-4e5c-ab69-50e77b17a4fa,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000039,36b98cbc-63a2-4ea4-99de-c20c52a1897b,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000040,a50c09d9-5340-4696-82b4-b046acb2b60c,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000041,41b8b9d0-9041-49b5-acb8-48b4ca00ed00,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000042,a31d8073-2069-4caf-a54d-ff70034584c0,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000043,ce48eaf0-26f3-4d0f-a038-dc296b7ac971,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000044,b8991c74-ab85-4055-aa01-af150101ee08,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000045,783b2626-0d33-49af-97c1-6a89899b2f17,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000046,eecc4076-1e3f-495e-a04a-f4831ae259b9,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000047,f6adf655-29eb-441a-a2e6-ff090aed63aa,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000048,b15fecde-c9b9-4405-816a-cf7629d32a5b,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000049,7f675161-0bda-4781-93db-a68e350657dd,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000050,f3af8778-d3af-4595-acb4-65c280c65cd4,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000051,c466a8ae-87e7-4387-9a27-d73143333e8b,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000052,51eb4a01-b93b-4dfc-b2b7-becb365a88f8,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000053,6dfb79bf-6bba-4a8f-aa24-2cb60e8ee060,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000054,3ae36294-6260-4652-b133-2899ac739407,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000055,9ce079fe-f65b-4368-ab18-aeddb00b591d,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
10631138-cfa1-43ed-a3ca-f34785aa70b9_000056,ac1de0eb-743d-4961-a9e0-c1903efe817e,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
