event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
19849205-d07c-4bc8-8bd1-1543eedf04ba_000001,69ca578b-6ee5-4704-851c-94e2ee1c3736,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000002,8fbff28f-44ec-4a5e-9f3e-3418d8b9ddc6,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000003,d26c954c-6ff7-44e5-ae63-6478d7adb28d,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000004,9297a182-05fd-4f1e-a2d5-62360b691edc,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000005,74c812ea-25af-482e-962d-8b2fa0e33fa3,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000006,e53d645f-5d2b-4bf2-b4f4-4acc1d4ff506,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000007,f2603fab-b119-42a9-8d63-f4cc2254af65,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000008,f037750f-1f53-41f5-a003-5b3dd6c7c0be,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000009,2f499279-485d-43f4-b6ed-04a611fd4819,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000010,ab3b235b-450f-4783-9801-50b9f3e657aa,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000011,385fda7f-65b2-460d-a110-454e1f871b76,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000012,6a036d2f-006c-425b-bcdf-b02642176e25,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
19849205-d07c-4bc8-8bd1-1543eedf04ba_000013,2d0c34ea-6ec9-460a-8a39-b392253cb72b,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
