event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
1ad4ea6b-5027-4428-b9d4-324bf2391784_000001,e967d73f-eebe-404d-98ad-b5aeeecc58fa,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000002,66e6e649-eadf-4202-8cb1-f74d9802cc6d,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000003,d0372f38-e267-4404-b7db-1ea5b91726d8,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000004,5a0ea05c-154e-4189-a3b1-70923d02af46,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000005,70d28c61-78b5-4323-8c2c-3036e84c4b7c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000006,70297b68-6599-45b7-9d02-8670973a837c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000007,1c94c1c1-e1a7-4077-abe9-9bba67d10ead,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000008,01b518b5-13c9-4c7c-88a7-0629d650b3e1,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000009,5ae3d0ab-d6bc-490c-8eb4-bbf7628645d2,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000010,458272ce-2195-4b55-8b73-52314d607542,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000011,68042150-4dcc-4017-abe8-be55b0425016,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000012,497a95b3-7ec5-4824-aa2e-ec0841d0db42,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
1ad4ea6b-5027-4428-b9d4-324bf2391784_000013,4add3e31-d2b0-457f-af89-e8bd54a999ac,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
