event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000001,b0ec1096-3617-4d69-a523-8b21d3bbb1ce,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000002,f3f952e8-e5cc-484b-96d9-7ef5b48ca031,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000003,9f8d049f-ceb4-4afa-a9ce-5f6a68257a99,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000004,34ab53b2-df88-4568-b8f1-7f69515d0857,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000005,edbe10d5-aa3e-46ae-b36d-d00f193024a9,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000006,c7282f50-905b-4902-9558-c1a159c73180,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000007,2a2a4628-36dd-4b5e-a745-9a15936ce3f9,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000008,04444ef8-04a1-479f-99d3-a67f4bb75da5,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000009,f4d71596-4b42-4a15-8571-4cd0cfd18401,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000010,1e8a62e7-639a-475c-b442-6d4ba0935b33,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000011,43709369-2e5f-454c-8a97-ad85885e054a,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000012,c175da7d-de34-4296-b0bb-129249fe222d,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000013,75cf89db-6f7e-4564-ac7d-64eb9cac0827,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000014,29db8ba5-dcbf-4ce0-ad9b-2e2620dc00e4,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000015,6c9857c2-5680-4750-afe2-af07d39cc892,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000016,89e3d0a3-ef05-4968-98d3-5226bee17971,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000017,0863f290-5684-4158-9cc5-358244ed5dc4,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000018,40b0dc6d-a3e8-4137-b688-bd08e40ca0ea,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000019,3036be89-0aef-4352-a80b-4e7051eb5739,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000020,3d39386a-8b52-4646-a51e-afbc8d2aaa89,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000021,bb211940-e589-4b8e-b704-c3a4dd7785b3,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000022,049f9ae0-5a19-4b2b-9633-1a40dd374f6f,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000023,768b7518-fe96-4fcc-822c-4de2b88e4688,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000024,28783db8-825a-4eca-907e-f51314134e8b,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000025,d31e8d03-f58a-439d-82b0-0b208bce2ad6,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000026,6a20957c-f5cc-444a-a1b4-232b96fb5941,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000027,09a2fa52-80aa-4016-aac7-5d23ea6a19be,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000028,b78a1126-dde5-4609-8009-3c2e87460f7b,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000029,0d8393cf-3195-4d3f-8262-cad9a17fa73e,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000030,92bded9f-73c3-46e7-baea-05f78616038e,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000031,b5175588-0f8c-4a09-8ec7-22a5364d42e4,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000032,83dd81ee-fc34-4140-b462-00f0e05d5186,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000033,1ec750c4-a387-44ec-942b-8501a17da7cb,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000034,204478c3-b3f5-4449-93bb-00fefde24179,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000035,05220b37-0c25-443b-b843-8285d856c636,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000036,ff03e5b1-6481-4f4b-91a9-7a309c14c98d,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000037,262252a3-b6eb-4e00-8aaf-c86fbdfea6b9,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000038,1397f8b6-b28c-4063-9970-e5704fe38c33,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000039,79e0a6e0-1671-45a4-82a2-ad0fa9282745,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000040,ee8188ff-c33e-41bb-94e3-5a40784b81fc,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000041,2f8d0b0e-4adb-403a-8776-643696d7ecfe,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000042,ac093d18-043d-476d-be41-6a906a7e9ea2,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000043,5664b03a-1688-40b3-803d-f791b4d35a31,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000044,9971db04-71d9-49c9-833e-758d75be6a5b,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000045,17d5ebf5-0c5e-48ca-b773-c0134c4a9e4d,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000046,cd928a74-6010-4033-b756-c9dffafc5ade,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000047,71330405-c555-4e15-b5b0-d7fdf3708941,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000048,2424f823-bd9b-4030-84c9-6f81b8f6e570,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000049,e72738bc-5e75-4cac-ba95-02ea59b52ca5,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000050,59e31b71-09b5-4dad-899f-1e1a4c94a363,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000051,4ea9b6c6-7518-4fec-bed2-9ff6a67b6a3c,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000052,adfe03f1-bfdf-4640-84a8-c10e15a1b599,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000053,cd2bb157-ef7b-49c6-982a-1c68b90852a4,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000054,029f5422-2df0-445a-9c50-4f57c3996fa6,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000055,4e1ebba0-7eda-4e60-bcb1-1af4502370ec,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000056,3c00d78d-8648-47eb-bd50-e5dc76410aa9,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000057,72a6b4b5-ab30-4268-89ad-9af484282c2c,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000058,0e335c04-5acd-4336-be70-4ee548b0f87c,promotion,2025-4,9,9,A,Sales,Hamburg,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000059,171653ed-d18e-4512-bb09-b6bc27f26114,promotion,2025-4,8,8,A,Consultant,Helsinki,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000060,d3a54a12-2337-45a5-9a4b-673864eb0aa7,promotion,2025-4,7,6,A,Consultant,Helsinki,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000061,c63df7dd-b818-4b18-ae27-66d0e8c13c3a,promotion,2025-4,8,7,A,Consultant,Helsinki,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000062,85673c41-4c76-4adc-ba93-6855f3af8dfd,promotion,2025-4,7,7,A,Sales,Helsinki,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000063,ca97eb24-fe4d-4e93-a99e-755e820da6f9,promotion,2025-4,8,8,A,Consultant,Copenhagen,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000064,a881757b-e006-488d-a53a-1a176bd96fb3,promotion,2025-4,7,7,A,Recruitment,Zurich,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000065,0c1b5487-52bd-44f0-9cdd-6758e5177f9b,promotion,2025-4,18,9,AC,Consultant,Frankfurt,AC,C,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000066,7ec9bcb6-b787-46ac-ad12-5600c9c91c32,promotion,2025-4,6,6,A,Sales,Amsterdam,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000067,fee37715-a9f9-4288-a3de-b7f814a68c8a,promotion,2025-7,11,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000068,e1802629-0be2-42c8-ad47-85f126509109,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000069,8d822480-72d7-4c8c-b94e-2246a98946ed,promotion,2025-7,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000070,6035eb9d-8f67-4b67-b7a5-e49419f7e42f,promotion,2025-7,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000071,74fa422b-5b03-40b1-8503-f254a82cb05a,promotion,2025-7,11,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1c360f5f-59ed-426a-8cc3-432ccc20aa2b_000072,710fce09-2b3e-4f04-a0f1-92aec8cf6e2f,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
