event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000001,bc672c0e-6a9c-4ee1-960d-dae6fecd9881,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000002,f9ccd01d-a3f8-48cd-9b7a-2fbc8ff8c497,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000003,3f782aff-6408-4ddb-9627-eb5f7a49e553,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000004,36507bf0-2a2b-44fd-8e6e-0b84dedcccd4,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000005,641b0520-6381-46dd-be34-b1ba429ee072,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000006,67a7e69b-b806-495b-9576-f92136258c78,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000007,b9d3bd44-4353-4e35-93c6-a3e206ed738d,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000008,b94850bb-5893-40b4-a16f-70c1f8fde2a0,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000009,4b505993-cfef-4301-b4a1-baa741d7460e,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000010,d4e0312a-5614-405f-b26b-76d458d79c60,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000011,ed8a9587-11c0-4bec-a347-1f9139a7f2c1,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000012,3278881f-f6cd-418e-a41e-16e53c5cdfed,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000013,92a63234-56f9-41c4-a322-67c6cb7889d7,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000014,3016a23b-22c0-4c85-9869-da5975bd4e13,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000015,e3f5b7ac-6c4c-45a1-9bda-10b86a9c3ca3,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
1de99dad-7f11-4a1f-924d-5c1a457d2f69_000016,e5132228-5d15-444f-8f03-c5348e1e9040,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
