event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000001,36c339c2-c014-4b69-8af5-66a0842446ce,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000002,1a02ec7d-88db-441a-8ada-e5861de26d93,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000003,d80a8174-a22a-4a2b-9de0-ede32d9af9d8,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000004,88fbc136-7a20-40d9-8397-ae97d389072b,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000005,6689b5f7-68a5-4c2a-8df3-2378a5e7f06f,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000006,c665dd75-2fcb-4ac1-8a38-5076834ea955,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000007,70e912e8-b231-4637-9c93-be46ad3dc3d9,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000008,aba83494-c83d-40b3-b5ba-4921b6f0ece4,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000009,8d689feb-452c-4d5c-a308-8401064c273b,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000010,12b9b266-4cad-466f-a4eb-5541370eb588,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000011,c6d93822-616f-4e8f-994a-c94539486ce1,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000012,a875a8ab-1238-4f11-a96c-b28aa17dc031,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000013,20e8956c-ed7e-4562-a85e-8c0803570ebf,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000014,95537e4d-52a5-4976-9e5d-5da4cfa5f1ca,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000015,43c340fc-5bae-4147-885e-6cbf884b7217,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000016,ed33693d-067e-4a21-a485-291f46dbd3fc,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000017,0b7064a7-2243-4e68-9470-b0bffe20573a,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000018,e30cbf6b-249a-44fc-b4a3-7dc1b88e8202,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000019,56af2d37-172f-424e-aa5a-60c9d5c96fd6,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000020,bde0d6c5-d4d5-4311-b669-8a694ca1a0a2,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000021,c8415c3e-1bfc-4760-8751-5e1b85d420df,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000022,40b16574-40e9-44aa-9d04-d15529a13b7c,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000023,0c80ebea-b428-439e-af38-0a3ca1b72992,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000024,35be28a9-cd04-4e0a-b81a-382feb700935,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000025,dd04b45a-781f-4d74-9261-3644fec21e05,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000026,affa8d33-9d5e-4be4-a082-977e8259f304,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000027,adb4f53a-d853-4d6c-8995-128ddd7d983d,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000028,34fdb2f8-b7f7-419e-ab60-76ef02a707e5,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000029,b8a85af8-b836-4264-ba34-18b6de16e52a,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000030,385587d5-ecb7-41fc-85f8-49f4ee4ba7f4,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000031,c689da12-bff8-455f-9090-573584ef93db,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000032,b1756f30-8e3d-468f-b980-65264b919b45,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000033,ddc34f29-141d-48b6-b34e-dbd0d8d5f73e,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000034,e59098bd-e8bd-42d0-aa63-ddb31d0df94b,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000035,ad30cb09-0db8-4d6e-8ce4-3b3c42126069,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000036,7c24241d-21d8-4257-b365-dec5c77e525f,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000037,db12958a-8ae6-4dd5-a970-b6d70e8f7af6,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000038,2359b4fc-87c4-40e2-9b18-d565c66bd88b,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000039,4d14b0dd-4de5-4c05-8b87-117501cb7ba5,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000040,92ad0d70-38fc-48ba-b4dc-50019081777a,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000041,de3a6acc-ffbf-40db-80a3-806fb65b065d,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000042,bbabd953-6464-41c2-ac08-39e80efcab30,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000043,8c781f3a-d5fb-4af2-b728-bf3877ee4b4b,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000044,b2108cb6-280c-44e9-b834-3607b872f9a0,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000045,0dff35a3-d5ed-4bd7-ae70-7ce99c09083a,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000046,39f0a30f-2850-4b31-b714-f46e0ef0224a,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000047,b5f68ac9-8476-4565-98dd-14e10db31f99,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
1e3bd70a-5e51-4daa-b32c-d6e81d264256_000048,5a12ce3a-7c17-4d1f-8d30-d6b7d1292b1a,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
