event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000001,a27a93ab-f41d-4bf9-9238-241a7c60eed0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000002,6a820e02-4bc3-4342-91e3-611c3698de9b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000003,03ceae0c-525e-4e2f-8cc6-314970cc6359,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000004,39d4e79e-14f5-4c4b-92b4-96eefee75388,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000005,2dc3d9bb-6c04-412d-97fd-4444d35b1ff3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000006,11a4c7cb-96cd-4120-9378-c8f2a331d1b2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000007,5a9c34f6-24d2-43d8-960c-2a84d2a41722,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000008,887d1695-899a-4d28-81ed-bfaa28c8e96d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000009,349ab1e3-3e42-44a0-a06c-f40c950aae1a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000010,2be5e279-bf80-41fb-abdc-9dc39b78e754,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000011,fb17a45b-b2af-4291-bf03-5e87cab6b1d3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000012,8bb076e5-7095-4b97-b4ba-bfb048482220,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000013,f4a9ccd3-1f62-4348-bd18-b2939c2859b9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000014,84eb53c5-7090-4cd9-a53d-7e49a3a2fedf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000015,dedd50ed-e277-494d-977a-d448bc9cb430,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000016,1844beb7-8cb5-42f9-a94b-b44a47550aee,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000017,7a385101-b6ed-47cf-9d63-71abbbcf213e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000018,0bf0b8b3-ded7-4f47-850f-6f765a1e82fc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000019,7d232923-8e16-4080-8213-d7f6410b48b8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000020,d88f8bc0-4353-4e0c-8b6c-b87c134dfe1a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000021,ee3fa095-bf3f-4d96-942d-8245fb0b1f9b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000022,2b6cfbba-7c71-4aff-9e60-dc157e7267a4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000023,fd3eec64-7159-4c72-8002-ce99fa64677f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000024,80be2f0c-970c-4e6c-bde6-9a1dd834e8e5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000025,3502898c-4c08-4705-9aed-394b6bf5504c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000026,d9e23b80-852d-4de9-a62d-769ceeea15c7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000027,8e71ec1c-49fb-4824-ae40-319ba8daa489,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000028,1f63bddd-0d50-4454-8ff7-70db5735a230,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000029,b56ec057-ac04-4552-ab95-d5bbb24bbeda,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000030,ecde08b5-a94b-4af8-b279-7b31e5ff5b6c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000031,adfa99c6-9610-464b-9d4b-e2eb5997b42a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000032,7d929bce-9b75-48ca-8425-0b222c1d5647,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000033,dc72cd2e-012e-4a36-bdb3-b2dbadd02de4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000034,e8f8b914-18fb-46ee-bd8c-788fdb1ad1b8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000035,2cf0851b-7b5a-490f-989b-ef2c6a21f9b0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000036,1a28e1c3-3c6d-4ef1-8d68-2ed8e46a83b1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000037,c069db79-6390-436e-a816-4ad0e10cd16c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000038,f6b2d4b6-afdc-46b7-aa6b-59df8a5bf2eb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000039,4168cb9d-d034-4d5b-8c37-19682a28a19e,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000040,32139b5f-594f-4a93-908b-ed0e9bcbda26,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000041,cac7477c-4c04-480e-873b-9cc550ff0ef6,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000042,6d2edcb1-15bc-46be-b767-e75072e32c64,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000043,ef69a970-6b2f-483e-a204-9639eab6dfa7,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
1ec578d8-a5b7-4ce2-9737-36004f70a8e0_000044,61a7eeec-35aa-47c7-9cdb-b54522f7e699,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
