event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000001,1f83b5ff-466d-47a2-9772-1abf280cb122,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000002,edee7600-b860-4ce9-8501-d85234e5bcfe,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000003,cdc8c30f-5cf1-4358-8db2-95ac0a523408,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000004,59e4d784-bbb9-43b9-9e91-7bc0cf87e4c5,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000005,68b6d8e7-5226-459c-a4c1-c332a093179b,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000006,e7b062b7-3aeb-4105-bd08-55131f8d65b9,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000007,3ffc0945-4da1-4090-96db-16fd0221e4a2,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000008,f57ebbaa-be31-4a09-8b0f-4310482fcd1a,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000009,a456f7b7-0803-4fee-acb3-146d0d8568e8,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000010,9628a8b2-8614-4598-a036-53827f03d86a,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000011,5467f0e8-252b-44c4-b9d1-9b8a79c5caba,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000012,b357ccb8-24b4-4a73-ad34-641144d361fc,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000013,4dd8f763-d5f8-41a8-a731-2549b5e3fed5,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000014,c7ab8745-4f9e-4de3-b60a-4ed24172b71b,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000015,e6ede0a2-2915-4324-b8e5-5ceb6c24ca26,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000016,e1be821d-7eb3-481f-865b-fa5cb0fffe0f,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000017,75ff346d-173e-4382-adb1-f2e01f999bae,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000018,b4e18f51-15a8-46f7-a4de-4c7f5703f917,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000019,e45114f0-7a49-42b2-aa94-293dc44e0975,promotion,2025-1,128,30,M,Consultant,Stockholm,M,PiP,CAT30,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000020,ce6c2060-c52a-475e-a369-b13a81adfe20,promotion,2025-1,93,30,AM,Sales,Stockholm,AM,C,CAT30,,,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000021,194689be-fa26-4183-a013-b479028c188b,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000022,6d432bc6-b2a8-457e-a351-d8ef6b9c50dc,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000023,9b595166-0102-45a8-8a1d-0d728e1ef659,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.0505
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000024,9a20b6ff-7ffc-4bef-a294-06d580e04f1d,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.0198
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000025,a6af2603-e8ea-4477-b85d-19e427eb1cd0,churn,2025-1,92,27,AM,Consultant,Stockholm,,,,,0.0164,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000026,87b78676-980d-44d8-886c-cc712409aa80,churn,2025-1,89,36,AM,Consultant,Stockholm,,,,,0.0164,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000027,e2ca1cb2-7a01-4f2c-9fd5-b42ddd8a78f3,churn,2025-1,24,7,C,Consultant,Stockholm,,,,,0.0219,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000028,5131e08f-1133-4afb-a31b-42a2db3bc5a2,churn,2025-1,30,15,C,Consultant,Stockholm,,,,,0.0219,
1ff7f77b-67a5-4c78-b038-fb10ea2ac261_000029,6537a290-896f-4888-accb-4341f725d181,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.0097
