event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
20de783d-1fd8-4316-8047-941130248d98_000001,9892acb9-f900-470d-8a94-85f303e2bcfc,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
20de783d-1fd8-4316-8047-941130248d98_000002,d5e58268-626c-4720-afa2-90f11ba3ec49,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
20de783d-1fd8-4316-8047-941130248d98_000003,4af718bc-90d3-4bfb-ab31-67068fbde28a,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
20de783d-1fd8-4316-8047-941130248d98_000004,c95ac716-dddc-4a94-9a45-d93fbbd18466,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
20de783d-1fd8-4316-8047-941130248d98_000005,4987b72f-6efe-4bc5-898b-689a3fcc9833,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
20de783d-1fd8-4316-8047-941130248d98_000006,7ed898f6-b90e-4c36-b17c-1d73d5ac9685,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
20de783d-1fd8-4316-8047-941130248d98_000007,9381cfa3-6c6b-4ff4-a587-1157dd3f03a7,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000008,c491d961-33d3-4ff5-8324-69403604ef56,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000009,ecc2b781-4e8d-4a48-b7d5-bd9a54fdf0b6,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000010,aeb97b7e-6ced-4d9e-aa51-d117a3e1b298,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000011,8364beac-d8e2-41c0-be3e-3f8f09828d9a,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000012,78b4102c-3a0c-40b4-bb80-dac72f9d59a6,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000013,1816db60-e303-460b-856c-60989114f298,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000014,cd743c24-1221-4f05-9d89-76a68458692e,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
20de783d-1fd8-4316-8047-941130248d98_000015,c67d3d02-0109-4c7a-b6a4-1820b77f4457,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000016,5002bf29-6b91-419f-a5c9-a21f7c68df97,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000017,1f6a0af3-124a-433b-8f25-e0049f9a289f,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000018,8f239b70-eb81-459b-9183-405d349a11d7,promotion,2025-1,30,12,C,Recruitment,Stockholm,C,M,CAT12,,,
20de783d-1fd8-4316-8047-941130248d98_000019,df516b5a-493e-4042-bce1-638ced8d54ee,promotion,2025-1,87,35,AM,Sales,Stockholm,AM,C,CAT30,,,
20de783d-1fd8-4316-8047-941130248d98_000020,a5c66479-f75e-4743-afb6-539ffdec7804,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,0.0198,
20de783d-1fd8-4316-8047-941130248d98_000021,782f09cc-0fbb-410a-a278-e94897e4653c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000022,1d4348e5-618f-47ef-be1a-255dc7a653cb,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000023,0db0075f-a0bb-4d02-adb6-ea96235da3e1,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000024,1b4624b9-ef1e-4f66-a13a-406b94de7d11,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000025,4cdc3e25-c844-4846-9669-41af81657ac2,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000026,b5d80f7f-146b-47a1-813b-37c3722aa8aa,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000027,d340b4a6-c774-49ff-a004-ada888796c13,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000028,02962038-db7e-4728-b710-e14ad498b583,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000029,51b078f7-cd5a-4cf9-96fc-8a79598e3e28,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000030,8a13f2e4-80a9-4582-835f-6ee29f5ddfc8,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000031,3220058b-9db4-4182-983c-532a66104aaf,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
20de783d-1fd8-4316-8047-941130248d98_000032,8cf82787-67ab-4d1d-ad09-f652a541306f,churn,2025-1,8,2,AC,Consultant,Stockholm,,,,,0.0265,
20de783d-1fd8-4316-8047-941130248d98_000033,e92e5431-1a74-4ae5-96de-50ab10e374e4,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.053
20de783d-1fd8-4316-8047-941130248d98_000034,711545b2-3e64-467d-8ef4-db5d07ed98f8,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.053
20de783d-1fd8-4316-8047-941130248d98_000035,30482af3-4db0-4b11-96f1-74f69772e0cd,churn,2025-1,84,13,AM,Consultant,Stockholm,,,,,0.014,
