event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000001,6cf27727-7bea-4a27-9a41-c454bc77aa70,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000002,07224cdb-c212-4444-aa9b-f7fd35095271,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000003,3ab69bf5-cbab-41ad-b162-d49bb23e463f,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000004,82d3d25b-0f72-4d29-be96-749f67ea14cc,promotion,2025-1,24,24,C,Consultant,TestOffice,C,SrC,CAT24,0.278,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000005,4cde2b6f-e438-414d-aaca-83c5986d56e4,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000006,9ffe0151-625d-44f4-848e-eb2aa7299121,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000007,99d34169-3252-4814-9206-00a8db100d77,promotion,2025-1,24,24,SrC,Consultant,TestOffice,SrC,AM,CAT24,0.211,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000008,7aa36248-dece-49fa-8ec4-1711f96316bc,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000009,7832a34e-8bb8-4ca9-9c7b-f669a44e6c1e,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000010,28bac536-fe06-4885-b304-2b8d2142d246,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000011,33e082e1-ca12-4be4-a969-c55951b21883,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000012,2e284e9b-4c09-4f9c-9d93-29b3bedcf6c5,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000013,bb6ab58d-d0a4-47b5-9ab7-656214fba493,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000014,172adc6a-8170-4f72-a682-a1c89fe0a0e7,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000015,5cbdf7e9-3191-4329-b879-5b0733d4d625,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000016,caa9d152-7cc2-4ee4-a35f-62ce0344edef,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000017,a73b7785-9554-49ae-9465-ba5b971ac8a5,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000018,608ab17f-d31e-4a22-9b49-c9de33f640c0,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000019,224bba1b-b169-4411-95a5-f547ceab409f,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000020,a9979707-629e-4971-b5e8-250d3a7d66c6,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000021,ad28247d-3458-4890-88d4-9f7e3e593152,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000022,ceea049b-8990-4ce7-acbe-d903c29cba51,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000023,25760749-6e6f-49f7-a9fe-85b0f3a5410e,promotion,2025-7,30,30,C,Consultant,TestOffice,C,SrC,CAT30,0.643,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000024,9758b2ce-9a27-4d48-9b58-10b066d59ed1,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
23ed61d0-85bb-4aaa-84f1-cfc5edbbe3d7_000025,8679d63b-8f18-486b-9a5b-f5cd941ba351,promotion,2025-7,30,30,SrC,Consultant,TestOffice,SrC,AM,CAT30,0.206,,
