event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
2442afaf-6056-4151-a391-ab329775cabe_000001,8ce7c8ec-b551-48ac-8da3-68f9c1124105,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000002,bdb364cc-72b5-438e-9895-bac233dca7c3,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000003,8bf17271-756f-4062-892c-9c9a7d7d8fe0,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
2442afaf-6056-4151-a391-ab329775cabe_000004,9097405a-78d8-408c-8f60-08baa9de3d58,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
2442afaf-6056-4151-a391-ab329775cabe_000005,b2ee08f7-1600-4168-9f20-bdb368d573f1,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000006,9b894607-d7b6-40c2-ae86-cd21556d8626,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000007,07390927-39ec-4ed7-a56f-8489e6ba1ba5,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000008,77b0c05b-d01c-4560-80fe-661265aa9e02,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000009,9db3aa87-5593-43c7-b0f7-3b7f9c524dc9,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000010,d5fa6361-7e56-4884-a1fe-551bca40ce1f,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000011,c54e5fb8-74d0-48a4-ae04-ccefd104a893,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000012,fb045115-d961-4558-b973-f165ca44bd2d,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000013,63a98501-7415-4d81-8023-36b660826144,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000014,3cf51e0b-4f2f-4ab1-86fa-5943ce612bb7,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000015,7f4d3fa4-ad0a-44e6-9bde-fa7f987ec707,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000016,3e39e5e3-46e8-44e9-86b9-aa8645551672,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000017,381f03b8-96c0-425a-b375-ba7bf68a982d,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000018,0f5fb634-40a4-4ac8-be40-064ebd0e817e,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000019,9355576e-2d30-41f1-b589-b62249fefa95,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
2442afaf-6056-4151-a391-ab329775cabe_000020,0500191b-fd2d-4a18-875e-177f4e645553,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
2442afaf-6056-4151-a391-ab329775cabe_000021,f69c17b0-f9ba-47be-aaea-384801c0daff,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
2442afaf-6056-4151-a391-ab329775cabe_000022,b25db07f-8767-4b85-a890-0e166b661373,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
2442afaf-6056-4151-a391-ab329775cabe_000023,53db61bb-4274-458c-b014-54ea4366ac99,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000024,1b40ceb4-6f84-4f13-a0a0-405f0527fd06,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000025,13cdac39-a808-45d8-bc6b-924d63df41aa,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000026,c69d594e-a2e8-4f51-9fd4-680df0b1b849,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000027,9fadf704-cc77-4a78-86b2-fe3b9d866acb,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000028,3caa5d26-9acb-4c87-8bd5-b21145681fa8,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
2442afaf-6056-4151-a391-ab329775cabe_000029,522b1161-ea40-4173-a021-a2f4f9dd0bec,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
2442afaf-6056-4151-a391-ab329775cabe_000030,456f2a87-2822-4db1-9a7b-375932753af2,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
2442afaf-6056-4151-a391-ab329775cabe_000031,a5ad1717-96f7-438e-b6f1-3bf8bbe5595e,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000032,b7235fe6-b979-4eeb-a2f4-b3183e70edec,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
2442afaf-6056-4151-a391-ab329775cabe_000033,1ea5b680-dbfb-4dbe-8c25-59ba89d4fc6b,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000034,2dd0fcde-5df6-450e-91c1-ab581bb07552,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000035,a7f2dfb0-7915-4607-867a-a54d1728a77a,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000036,2845c39b-fb61-478e-823b-c4fcf5d80867,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000037,9a050411-6682-4ce1-b007-48efbb65a10d,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000038,ba11f691-eb7a-4fe4-a1e2-096be6882dd3,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000039,1e38300b-370f-40cd-9312-9ec9915e60bb,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2442afaf-6056-4151-a391-ab329775cabe_000040,b4926b80-55c8-4806-9fdc-9505936dd049,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
