event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
249c69af-3220-46ae-b737-f99f6dd4433f_000001,8406b35a-3773-40e6-98dc-5804b4ec09b4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000002,5fbf763f-6cb4-4042-81c4-78b22c5f43cc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000003,d26d186d-a3f7-474f-a8e4-8dac30573cff,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000004,96482ebf-33cf-4d82-88d0-adf1fe9282da,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000005,891d742f-f6d1-4e6c-a41c-f4e24f11eef8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000006,194a512c-f3c4-41b3-af85-49ab0bd23881,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000007,d4f98f75-d549-4912-b0f7-d4d93d2f626e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000008,e9c342ef-4a69-40c7-b2fb-f48f166091ad,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000009,3dbbd796-19ac-4c69-aebd-127e63d123a6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
249c69af-3220-46ae-b737-f99f6dd4433f_000010,ebc4c484-9855-4d4a-95f5-ab429face27c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
