event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
24d8acbd-c3d4-4789-bae7-1073815bddda_000001,9f143f29-b971-4526-8547-dbc79b50d109,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000002,0c72f877-09c5-4fd8-b758-bfd37d49c0be,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000003,1b2e3496-cefa-4032-9d37-cb3e6c945715,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000004,a7e2620c-0cb9-4d2e-bb07-b58dbb59ddc0,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000005,269e4341-3f3a-4b50-91dd-e53355b83078,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000006,cfb9cf45-ec83-4dcb-8054-e8101edd51e3,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000007,90fe087e-1a58-4b1a-a8cf-32809a5c1253,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000008,fc2dbc1e-8e03-43e3-8c68-fb85fffb8d16,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000009,f4b25329-1592-4f64-8204-ab943e6e353c,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000010,6cd87bf5-faf7-4ffe-abc6-9dbd1aa0272d,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000011,a83a75c5-24aa-4544-a845-0957f7c92f86,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000012,60d8ad9b-80e3-4190-acfb-95621593f5b3,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
24d8acbd-c3d4-4789-bae7-1073815bddda_000013,e192b4f0-3ace-457e-b5a3-0ae742fc18d1,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
