event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000001,8662860f-852f-4fdd-aacb-8407fbbf481d,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000002,d43d6c4e-6761-40e6-bd6e-0afa34ecf476,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000003,2c14e9fb-95b5-411d-ac0b-7a95abd8a4cb,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000004,430953a7-876e-4b34-95a7-21dfcb6f40c6,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000005,44c6147f-3086-41b3-9c83-804c8c7c4454,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000006,52b2db89-806d-4347-922b-a7bbe2f56182,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000007,126db1fc-f001-4166-a6c2-57661e600786,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000008,3cf224b2-83f5-4f42-832b-73eb1c72073f,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000009,43568b1e-ccc0-44c4-ae11-60a0b360f50c,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000010,900e14ce-d226-488b-8c76-cd3a08b8f03d,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000011,7b3c9c2a-3866-4808-a941-f1733573b574,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000012,e4d0641a-f0ba-415c-b2ff-21dc1dc9acac,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000013,0c03c4e1-ff76-43f4-af91-2a838b43f9af,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000014,3080093d-1ac4-484b-859e-a24cffc36edd,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000015,2d1da207-997e-47ed-95bf-5fb9d687124e,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000016,1886e2f0-e7bf-4cbd-baa2-bbba6da4266c,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000017,4bcc2a98-079f-4535-9a8b-a8e304f8662a,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000018,1892dc47-5cd1-4a7c-a330-71c769adfb89,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000019,c147152f-5059-4b28-906f-2cf59ce5cc73,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000020,6c64f7ca-4f51-4076-b943-f0fe635bb7a4,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000021,5be76761-261c-4217-b3a5-94b79744490f,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000022,e6b57849-546c-4acd-b067-e3e0cdc916a8,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000023,a912cf6e-1b38-41c7-b16b-a00a863a812b,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000024,b170494c-15f3-4e68-9bb2-ca8b9d88fce3,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000025,780a95ca-2e15-4f8c-bb35-7efdd1c5134d,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000026,e205872a-f1d5-4f70-85b8-22580ae99781,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000027,dbd358d4-581b-4e99-a637-a08c98594dc9,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000028,67dacc2c-7a3c-474a-bf9a-8bd94f66cb72,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000029,33b73e1a-9130-450a-a912-80bf9436e640,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000030,cc921803-f622-482f-8cf9-ce4172ed0cdc,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000031,aeb1a127-e85e-42a7-ba9d-e8f754a93607,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000032,d3749a7b-c1f6-4d00-8f33-0b4b597ae5e4,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000033,40e3a95a-e72d-4569-9a89-7dcf5ee907f4,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000034,266dcb10-e56a-4cee-a1af-eabc86efcb92,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000035,65cd9400-93d3-47c5-979c-fb3b5f9b151f,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000036,98b4dc6c-7bb4-4c63-978c-d6be0bc41b9d,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000037,4e9043b7-5005-421e-8112-b66525a74dda,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000038,726f1238-116b-4c54-9a6c-0d8157f4ae58,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000039,eb26eedd-0731-43da-bfaa-3f19c427c8a7,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000040,777f4dc6-efd9-43a8-a3eb-b38cec512532,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000041,6fc3330a-4602-4c90-9fec-63eac76f0bee,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000042,125603e0-c235-4211-8ebb-41e70553b185,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000043,7882928c-db3d-4a6c-a389-0090d0679368,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000044,07269933-dadd-428f-a8cf-5b616bf044fd,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000045,bff1f376-de9b-4885-a47c-0df92bc43a95,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000046,32275d8d-da83-4ff3-9b23-7b8d32eb910b,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000047,47ea0740-7715-4cef-a190-28001f83ba62,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000048,5b093268-e8ae-4432-92f0-941b32b2dc37,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000049,e0b68851-4565-4a1f-b284-795f3e5699fd,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000050,5488af85-363b-4cbf-b03a-26a2486acf23,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000051,7f49ba62-7cd0-4805-b796-f2aff4f36952,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000052,62ca165b-04b3-470c-a271-5558b440bcf8,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000053,a3da6fe5-28c5-47e8-8280-608b5eeb5a3b,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
25aeb2e8-ebdd-4413-b1d1-a4aba593a7f3_000054,bcde9af2-ff4f-496b-b7c2-5427c09b0413,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
