event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000001,7dc71736-a9bf-490f-b019-45ca31a9e138,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000002,9252480e-38bd-43c8-84ae-1e173c4eb6c8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000003,76615b7a-cfb7-41c1-845a-7b3799f75c7e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000004,ab2baeec-9f43-49dc-97b4-def76525752b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000005,5e597fca-66eb-4ff5-a037-dd06b92e68c0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000006,14f3520e-7e3c-4978-8a52-4950fcbe910d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000007,579e2c17-2b18-4dd2-ae44-bcf90f337b9f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000008,db18e8c2-23bf-41bd-9958-bea30b298a80,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000009,49859190-1bcb-4eee-b152-26ee1193a2a9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000010,a6abe2ed-e9ff-4fbd-bda1-74269903eab5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000011,24d1a594-e464-4248-b5af-21692243da7c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000012,ee645e43-3f99-4a37-a496-0d168235a296,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000013,a3682e70-0cbf-4445-be8f-8d6dc22b4a6a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000014,cbf8fe92-28fb-4476-a72c-8d2dd4a65d5e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
26ebfc99-f3ec-4adf-a479-512f97b2d95b_000015,303db2ee-cc09-41e6-9c3b-69af0086a651,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
