event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
27afba21-45bb-4140-a02e-843196b6ca1c_000001,93fec4c2-dc5b-4a78-a015-8a76c948c309,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000002,e2f527b9-0dd6-4b1c-b74e-807f3ce7eb6b,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000003,6de1dacf-7ccd-46ca-8e11-ee3865cd9e07,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000004,fa6554d3-061d-4db6-8de3-0d2d2819f34a,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000005,21260147-68b2-43cc-b0aa-d89834649707,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000006,137e63cd-3142-4f31-807f-962359cb1e30,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000007,ba07f80c-0b2f-40e7-a781-6a9c9c118a9e,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000008,4f3b6352-9fda-4330-a0c1-c7917e12f84f,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000009,1cfbe4bb-0e4d-44d6-a209-e0877d074569,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000010,57b91029-5233-40bd-9214-172b5d4967d9,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000011,40f76ca8-31b7-4ca8-98f1-9571d0ddb3fe,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000012,bf251ab9-84c5-4523-9eed-916bd2dd315d,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000013,a0105b27-5202-4af1-b60a-2d07149a65a4,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000014,dab7c1ea-c904-400a-b73f-da3eef0f5206,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000015,8b5f6787-357f-4d0f-a2ef-7a387f589c0c,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000016,c771057b-a189-4695-a781-7aecc784bbbc,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000017,6db5597a-da6d-4d64-905a-a3b89447c1dc,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000018,fd8aa851-e3db-42f6-a369-0c846420d1cd,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000019,a4c9a295-6140-487e-b713-de5763eb2bca,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000020,cc931d0e-3967-49bb-8be8-4a8af34cca1e,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000021,cd2d5daf-6552-4ea7-9d6e-e2756128c711,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000022,3e7e3e4c-9eed-40da-8281-1e644da5e824,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000023,7c727bef-2141-4be4-859b-cd4da4d6d4a3,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000024,9fd436eb-e7a0-4eb8-8160-729936518b84,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000025,1ea4378d-6145-42aa-bb77-1d5bf21f9696,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000026,a8a68798-c8a0-4f88-b063-61b8243a5cda,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000027,7ba21552-6ffa-4a52-bf99-5ee9f57ad9db,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000028,cc231788-1ae5-43ba-8a84-d9983ec38682,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000029,0e1684c2-94fb-4f9e-ae9b-c8ab5c7a12a8,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
27afba21-45bb-4140-a02e-843196b6ca1c_000030,af67c387-e3d2-4ad1-8a5c-43e9f4186dfe,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
