event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000001,4fd52e60-506a-4be8-acac-2d6965b748e9,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000002,229882b5-e569-4d1c-a390-1cadfe2c3662,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000003,f12e91d0-76e0-4f44-b3cf-11eb2d308372,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000004,f79b1d4b-ea56-4367-b5b0-eb2ed8044465,promotion,2025-1,95,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000005,f49915db-10fc-42aa-8c36-399cf68c4f56,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000006,3993b55b-7b52-4715-aa78-e27193398b6f,promotion,2025-1,87,36,AM,Consultant,Stockholm,AM,C,CAT36,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000007,cd8fac2c-c7da-4ae8-b6fb-46efb3e9a5de,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000008,0ea782e4-b7b0-4f76-8bab-1d1fd5e1f876,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000009,2c041f2b-2a6c-437e-9f99-bc772af492bd,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000010,775ef279-e1c2-4ee1-83be-dc1f911a05ed,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000011,145e2116-067f-4018-b177-b01eacdf97ed,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000012,3db4b263-2b72-4c0f-864f-39d669619965,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000013,301375e0-eee0-4b75-80ad-b71dc5922355,promotion,2025-1,144,35,M,Consultant,Stockholm,M,PiP,CAT30,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000014,92eb8a8c-ed52-406c-a84f-ec48a3f832ce,promotion,2025-1,51,18,SrC,Consultant,Stockholm,SrC,SrM,CAT18,,,
28c91a2d-42d9-4dda-b9bf-5ec32f06685f_000015,911ef1fc-adcf-472c-be73-b92273d3aced,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.12
