event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000001,6987440c-b761-400f-9cbd-4e4bd181c9e4,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000002,f2f51e5b-f36c-45a7-8dcb-3ac4465d5f6d,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000003,97b838aa-e34d-46cd-b89d-1ace70f80d93,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000004,fdbdd983-6c6a-4898-817e-57b4ee54498b,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000005,a59da560-472e-4b0f-a604-d758267e24a2,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000006,3f197654-2eb3-465a-b83e-0537fc9f7f61,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000007,86c8849d-6f07-4a67-851c-9ddb6769b66b,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000008,4c0c8d48-a064-47d5-bd95-8c5d53ea5193,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000009,5f645313-091b-43d7-b692-a67d3d55a40d,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000010,41553e27-e7c4-4176-b5e5-b3f4932baad5,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
28de3b4d-0c54-4d2c-8e60-89ca08923e66_000011,0b10aeae-95d9-4308-819a-70b658615d68,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
