event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000001,e7862edf-6d07-406a-90c7-7d3c26bb0bab,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000002,39778f84-61e9-4dbf-bfbc-5af4f0032dba,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000003,0a874378-06fb-41a9-8ee4-85c73101364b,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000004,c1d4eaa5-2263-47ac-adfd-ef75cff9fa5c,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000005,666fdcb5-e1bd-4a27-9232-9d1960615ed2,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000006,a670b21a-c443-4934-a0d2-f812bc2ef9ec,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000007,1c9483ec-89e6-4ba2-ba96-6be78af2850f,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000008,be19eab2-46b7-4e59-bbb6-78900f6c79b4,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000009,e9ed73b6-7453-4083-8961-ab9f64c424a5,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000010,0e53ced4-c2bd-44ef-8184-828339f55b07,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000011,33b8f1b1-79f0-483e-bfb3-c3c980d3eb4c,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000012,67f627e1-b4a7-4b88-aae0-6ddd5de3da86,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
2b1a2a24-f958-4b62-a548-9f766de3a1b8_000013,2c126a64-3d7a-4994-ac08-82d28ab12d6d,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
