event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
2b2cb136-11ef-4823-8c76-2fed1026430f_000001,ba015856-cc3a-4272-9f2a-2857931187dc,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000002,15a18d20-aeac-41a8-bf8e-59229165423b,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000003,021f18bd-9a52-4b58-b610-62cedd3a4395,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000004,0faab4a6-601c-4bb0-a66d-4c3954f2eaea,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000005,c1f49350-0fc8-4fab-ad2e-d0cdbf5335ec,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000006,d527e1b7-9b3d-4810-8329-50a8c3fe2549,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000007,26f3c4ab-3944-4761-ac59-cce6f266000b,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000008,b9e9d19f-66e8-49c7-a942-b26572dc6683,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000009,1ece4fe2-52a7-4e0b-9233-29e246978cf0,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000010,ab1549ed-56da-4229-9f29-c8c96838a46c,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000011,58f0c3fb-cb32-433b-b6e2-af19a013b31c,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000012,f90c5366-039c-46e9-87b8-7873eae87398,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000013,b16641c2-6f11-4e79-ac32-04f6d8b0f12c,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000014,0b54fbb4-03d4-4038-8085-82c2716500eb,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000015,7e2edd5e-bc57-4b06-babe-62702dd13c09,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000016,fd024c89-fdf6-45e9-9b17-68dc4d3fc161,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000017,403a0ecb-ac6e-49aa-a50b-66bd7451b5b6,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000018,ab715f0e-60a5-44a9-9818-0dc406cb7eba,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000019,bc8b051c-353f-4b5c-b053-ac6b489b8ed9,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000020,4b31f865-0f36-420c-996b-61fd4bdfb0dc,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000021,92114b42-243d-43e9-8681-3ece9c17a457,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000022,3e371d17-a29a-43e6-900e-9803cdd2a3f7,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000023,736c0c57-5eeb-49c0-a9ef-0325eeb311e1,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000024,f1cebc0d-61be-4608-9241-15383c5876e5,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000025,78382300-d7c4-453d-85c8-8162e00ae58c,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000026,267cf78f-4a3a-4a07-aade-cd1caaf30db3,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000027,544361a4-3f13-4e04-8726-3492015e4caf,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
2b2cb136-11ef-4823-8c76-2fed1026430f_000028,ba7c3993-9315-4bce-be30-ccbc09042502,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
