event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000001,9786f537-1fc2-4a1b-b279-4c97089a6c13,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000002,dfdce1e1-48f0-48fa-8f44-589d3239393c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000003,15c7bbd8-19f7-4080-bb5f-cd54e2e18c33,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000004,e03fe2f5-0f3b-4988-82f0-d6948a76d885,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000005,0558bf95-654a-4f8f-9eb5-b59221699679,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000006,766e04ae-5735-4e9b-8756-15a648059af2,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000007,fb244deb-f55c-4a19-bfd4-68208529b8c4,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000008,d656f71c-fb7d-40ac-8a14-1c1196837bb5,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000009,f9b8331e-72f4-430a-bea0-d8b2c7172f71,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000010,3b0b26f8-79ca-4195-8569-f6c5a03f959a,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000011,6542a90b-c070-4000-972e-d9d36b012ee6,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000012,9a79fd2a-2d5c-498e-a32b-cf407b02085e,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
2c100f5a-0f63-4bc8-b92e-88214dda9d7a_000013,39f85cf0-ebe2-481f-935a-735184b90727,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
