event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
2ea2d945-b709-45df-a870-8d7df6736aaa_000001,b402040f-863f-4690-a5eb-c8ecc349f34c,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000002,cdebc2e8-48f5-4177-8dd0-7149d3b461df,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000003,140ecbe1-216f-4f5b-97cd-c489731dce4b,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000004,15b72a35-039d-4913-936a-c48028287d5f,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000005,e4d2aa5d-af25-4ca7-b0e9-3809a5327213,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000006,f64459cb-e07c-4195-a19f-782fa9f1242b,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000007,688265f9-e0cd-4dd8-b189-ce099b72fae9,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000008,d35a8426-e27e-4760-bc05-3e8de24421a1,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000009,f4f6c95a-a334-4a06-834b-e7018e911384,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
2ea2d945-b709-45df-a870-8d7df6736aaa_000010,44fe73ed-eb24-4665-8e21-72aaedf3f7dd,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
