event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
2ec263af-0008-4274-a198-a5572c322a54_000001,ff8fd92e-2941-454f-ab9b-b5ffa7526367,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000002,2afebef6-d4e0-45c0-b675-e9f596fcd21f,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000003,e7935577-2aaa-4ae6-8b2a-b54dde799c75,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
2ec263af-0008-4274-a198-a5572c322a54_000004,19919ac9-13b5-451a-a90b-55de839ef27c,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
2ec263af-0008-4274-a198-a5572c322a54_000005,fc08a007-d2f9-4c86-b9f7-b879da8d046a,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000006,1d80e0fe-805b-4e11-903d-9ffde9ceb4fa,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000007,4f22efcc-7ba2-4966-b63a-a6144b291056,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000008,c3994c6a-524d-4224-85b8-bcfd238c9411,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000009,0713b0a6-7cea-4036-bd46-d0931c0d60c0,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000010,bb0dc56d-47b3-4b0d-89e7-507db6bbb383,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000011,e7869d02-87b3-4edd-833b-9899c32ec83f,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000012,282579e0-174a-463c-9927-2a8e3c545338,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000013,5794f03a-d372-40de-bd5e-dde75d2e8e78,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000014,5b5656e1-6f4e-4744-9c4d-ee46972821e7,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000015,6200f836-f05e-411e-9310-af12f7bf1542,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000016,7a295b60-a552-4aac-a53a-818fe9e6c012,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000017,6c078b8f-5b4c-4c44-8a20-05f4a603ec2c,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000018,50a5b26b-2bbc-433c-92ce-7a9d8e8b83e7,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000019,df4651e5-3f36-47f9-9d9d-e865f8bf8553,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
2ec263af-0008-4274-a198-a5572c322a54_000020,becff57c-01c8-4c6d-a0fa-4d1404bf3ba0,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
2ec263af-0008-4274-a198-a5572c322a54_000021,0e70a669-2f87-463c-85c7-a5d39c4241ae,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
2ec263af-0008-4274-a198-a5572c322a54_000022,51cb1558-95cb-4d23-9185-6c4dec2d0973,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
2ec263af-0008-4274-a198-a5572c322a54_000023,38586d24-8bef-4164-88b0-a7f826541694,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000024,3ac186c8-28c3-4f56-b1b7-c6cee28f52da,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000025,2f8049e1-da0d-4b7a-be81-ccd2affe8699,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000026,7f3e56f7-3815-4b34-9e6a-457e99a75b22,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000027,917144e6-62ca-4d57-a26a-6f7dc0fdac59,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000028,b658a50d-80f0-4470-81d0-92f5885ac25b,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
2ec263af-0008-4274-a198-a5572c322a54_000029,02bf9790-1920-40ba-8ff1-61941b807ba8,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
2ec263af-0008-4274-a198-a5572c322a54_000030,66117c16-ad1c-4054-adcf-3cf43ff3a584,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
2ec263af-0008-4274-a198-a5572c322a54_000031,0ee1fd43-48e8-4322-9896-5d7eff69ec91,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000032,53361d74-5657-4689-b573-c6f883160e24,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
2ec263af-0008-4274-a198-a5572c322a54_000033,efd2bc14-1bd7-4de8-b177-eb426ed93276,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000034,3c493105-b001-473f-80a5-29d090a9d936,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000035,f1095cba-f2f0-4b40-9a22-575a76bbcc33,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000036,14ece444-88ed-4d06-8607-d9e1d9b71afe,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000037,809372c5-56bf-43cb-b203-3b2ac56aec9d,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000038,4b14c1e5-ac34-4d8b-97c2-24d512752e18,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000039,e8af28c4-aa4a-43bb-9629-0583a443644c,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000040,eb6ad685-3636-4dc3-9f5c-99cfc3f67e72,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000041,b85595c0-30bc-40b0-a433-6c1f0579307e,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000042,33ddb9d6-d783-473a-a53c-770d637104fa,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000043,bfec80a5-0201-4f38-9ea1-c9842b26d173,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000044,fd62085d-d7d7-462b-8fa7-fdd18572c68a,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000045,961c670f-1928-40eb-ba3a-c5ee0faf48ae,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000046,0141159c-fd1c-49a0-ac5a-9780dd8e2074,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000047,3584a409-e7cd-492a-95e2-7946e920ba30,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000048,b5bac8af-d0b7-48cd-adf5-7a02f40ee482,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000049,09e80454-d259-4a28-82e8-6732af59b640,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000050,d13e7117-e34c-40a8-b200-24a1a30929a0,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000051,34ad2feb-a536-4da9-bebd-faa46d5e7e9b,promotion,2025-4,7,6,A,Consultant,Munich,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000052,0ae66eeb-e2af-47bf-85bb-cdcda772f974,promotion,2025-4,8,8,A,Consultant,Munich,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000053,472b42be-6ed6-44b9-8ae1-b599bea24a58,promotion,2025-4,8,7,A,Consultant,Munich,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000054,127bda14-4041-4164-a370-b7306d0a9a61,promotion,2025-4,6,6,A,Consultant,Munich,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000055,a8a0ff7d-34e3-4c93-8c0e-f20c827850e6,promotion,2025-4,8,8,A,Consultant,Hamburg,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000056,8fe24e81-8997-4c8f-be09-dced41b93035,promotion,2025-4,7,6,A,Consultant,Hamburg,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000057,109c83c6-fc03-4023-8482-36e013befa2a,promotion,2025-4,6,6,A,Sales,Hamburg,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000058,b0b7e75b-4aa5-4d63-9367-3a972b01cb5e,promotion,2025-4,9,9,A,Sales,Hamburg,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000059,37b39911-7c23-4fb3-9be7-894031aa0ff9,promotion,2025-4,8,8,A,Consultant,Helsinki,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000060,6f894a65-42cb-436a-a794-4b2ca57467a7,promotion,2025-4,7,6,A,Consultant,Helsinki,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000061,95f4b15a-32cb-45a7-8bc5-c2d6395d2ae2,promotion,2025-4,8,7,A,Consultant,Helsinki,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000062,1d92558b-b412-4900-b3ee-186863a98815,promotion,2025-4,7,7,A,Sales,Helsinki,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000063,b3871973-ca9a-4987-98a2-633fbce3cace,promotion,2025-4,8,8,A,Consultant,Copenhagen,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000064,3058e83f-32cb-45ab-a8ef-1d386102abf0,promotion,2025-4,7,7,A,Recruitment,Zurich,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000065,1a079d2f-625b-4c94-87fe-8644310fd04c,promotion,2025-4,18,9,AC,Consultant,Frankfurt,AC,C,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000066,2b1798eb-ffde-4df1-be6d-b8b1e733fb48,promotion,2025-4,6,6,A,Sales,Amsterdam,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000067,b01c7c49-0db5-4f84-aa98-c128fc8ac93b,promotion,2025-7,11,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ec263af-0008-4274-a198-a5572c322a54_000068,33350274-107f-4444-9aa7-1c92bc7eacda,promotion,2025-7,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
