event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000001,0bb1f8d2-2e01-48bd-b534-b56366db3a94,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000002,028ff5d6-4812-4c76-b632-c3efd76a947d,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000003,06eeadb0-ce47-4553-b005-13647ad67911,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000004,13f21776-4bdb-43b6-be93-b1139653cccd,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000005,26e29377-9e8b-4abb-b0c6-4ab13c825766,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000006,57378805-0491-4c40-afd2-40e3737a3ae4,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000007,5a4bd39c-110f-41c1-8aa2-a9705b88f879,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000008,e30bda3b-ccb1-4ea9-bcc2-50f034d1605b,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000009,efcd3910-3621-44f8-a53a-a344b24881b3,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000010,1868c3d6-a198-4a50-86dc-ca4ef97beb58,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000011,5027948a-6f34-4964-bf82-e5d7d8759865,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000012,439ff822-9a6d-4b02-bc41-76246da109e4,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000013,f194cfba-373d-46ab-9038-f6cfc1a01933,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000014,d7858bb6-7f29-40bf-a031-142038a26566,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000015,b95c2d0f-16cb-4da4-ab0c-2301deb93311,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000016,d9801155-20b2-489c-a54e-2726261cfd7f,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000017,46088e4c-429f-4e56-b87f-4f136ae97d23,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000018,1d4fda83-4e39-4070-8afc-746d5e5537d9,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000019,65b93226-a015-4608-95cf-20da67d7bf6a,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000020,2582c193-e1ff-447d-8359-9fffd12d0970,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000021,bb4a2c0d-3240-4ffe-8413-1cae6fc72efa,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000022,4dcf014f-5deb-4fc6-82f1-d5c3fc8add9c,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000023,0cef8be9-1d11-4ed4-b2ca-125b6ca07ae1,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000024,58a11b6c-862f-4f34-a1ce-5ad6302cffe2,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000025,ab582e12-0f4b-4182-899b-40fef676105e,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000026,bf7cf776-bae1-4e14-a39f-dc43ac8a1cda,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000027,21a43bee-a82f-4fe4-a305-ea9b307903fe,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000028,9f0e1614-302f-4c6d-8aaa-def0fab93f6b,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000029,b1a4ef16-79e6-4a30-9f88-aff19e80c0bb,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000030,9e8ea65b-d749-435f-84d4-81d0d26a4ccc,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000031,d7108980-f9ed-470b-9d0b-933521707a2d,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000032,bf33391f-9adf-4eb9-868e-e016e81e8906,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000033,dfa9c40e-7ce1-498d-9dcc-bfd51a41d2e9,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000034,f7240dae-683a-4829-80f8-e8c4f6d71deb,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000035,5af34793-a202-40f8-b237-32ec790d9c67,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000036,4f8e254e-4074-4fa0-a1d6-3ed88a8b6ada,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000037,812f78b8-801f-428e-995c-536837e369e4,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000038,4dd53536-205e-4125-a219-5217c16c41c0,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000039,85456cfd-ba1a-4a85-9dbc-7e4f78fd82a7,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000040,c59419f3-2b7f-4f81-a174-d213d1825e29,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000041,0b096935-2783-4819-8b8b-f215f83f1b58,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000042,ef4d9514-0165-413f-a982-46ef9a7245f1,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000043,3d668a21-1c24-4ae7-a4d7-f14089115bc1,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000044,81f50590-46bf-41db-84cb-56e2f525f4cb,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000045,b4bb01f8-6811-4f9f-9031-9526695dbb62,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000046,8c69abbd-1b71-4236-a374-49ab30e54969,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000047,455f0982-a0c3-4b79-a5ab-351d07e62c8a,promotion,2025-4,18,9,AC,Consultant,Stockholm,AC,AM,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000048,34f457b1-8e5d-42c7-9dae-b665cffabd8e,promotion,2025-4,9,8,A,Sales,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000049,9dec1496-6794-4baa-b7ac-6c9862877ad2,promotion,2025-4,8,8,A,Sales,Stockholm,A,AC,CAT6,,,
2ff50535-a123-4997-b4ea-2b2f0b12ba67_000050,c5630b59-8450-43ab-b61b-9c783978bf6e,promotion,2025-4,9,7,A,Sales,Stockholm,A,AC,CAT6,,,
