event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3295c604-b013-4d44-80c1-5c5fcdda293c_000001,854878fe-4434-4d09-92ca-4bcc751ea7e2,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000002,5c9c6109-c151-4ee0-a781-c92448bcbd44,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000003,93ba59b4-4f3c-489e-9d93-0ea534275058,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000004,9fdd6cce-fead-4467-be76-46429c6aa701,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000005,0434b6f3-7130-427f-85d7-33b2df9575f1,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000006,7e9d69a5-3ee8-48c7-8831-14d219d1144c,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000007,9e69ad2e-a772-446a-8d95-1965976efe1d,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000008,576efd48-ffcd-41b1-b78f-59d6ceb58bad,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000009,089c19c3-5116-481c-9e0d-362102e830ac,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000010,e1a348c8-f85f-4a0f-a760-747bba910dc3,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000011,c0aa7425-d354-4c3e-bfbd-95148817fb66,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000012,694f9b91-1b9f-4930-93ed-f713ec0bbf73,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
3295c604-b013-4d44-80c1-5c5fcdda293c_000013,ddd9e085-9a32-4dcb-b7cd-4ce732d72632,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
