event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000001,10473605-bcfb-41d7-aa1f-01cc1ee95f6a,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000002,f49d811a-cb7f-417f-808b-5d8d42bebb0b,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000003,de0f8144-355f-44d1-82fc-77f2492f7621,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000004,d1fcb3de-f973-4db0-be4c-105c71da459c,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000005,02703c85-d86d-4c5e-8e82-abd313d19009,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000006,4d18baa9-1b3f-4cfd-99bd-eef6c27680b8,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000007,7c43a1fa-0294-4bb7-b2d0-de7f95dd8a0b,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000008,a2220cfa-37a8-42c7-a180-51501a700b24,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000009,75b06a77-110b-4cf6-abcd-f9f9927fa48f,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000010,b682c710-5d3c-45d6-ae03-b04aa56d3347,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000011,4282638f-1a96-4021-b44d-c5c069f2c680,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000012,1a5f7359-1214-45bc-814c-082e9a64b01d,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000013,aa035492-3418-4dab-a9f3-a56da51d4974,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000014,d5f30389-f0e0-4d6b-b69f-b399f4472220,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000015,62b016f6-def4-41ac-a231-5a5a6aaf3f6a,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000016,eb7cdca9-9e80-4ef3-be08-c25a7c31e98c,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000017,6cc9ac40-0df4-44df-b8fb-af747730c674,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000018,e2b50449-837d-473b-84cc-5c991dcf721b,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000019,c3098266-1d14-4f82-ad20-51e7ef43c3c4,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000020,9cacb524-55b7-415d-9f70-759d0b8672f3,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000021,55c588c4-b9cc-49e1-b50f-af1432a17db2,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
336fc2cf-6b2d-4d0b-a61b-b6c398e52388_000022,6bd2af44-2168-4344-be09-302f38ce6a37,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
