event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
34c61701-fd59-47a5-8199-ec1081b716ca_000001,38519182-30a4-4e67-abfb-a02ce647cccc,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000002,574a29ea-c78f-4b5b-a525-15f15f491c37,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000003,ce4f5abb-5df8-4662-aea1-0772923c5f67,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000004,a7700c8d-8887-434a-9268-8b03ed427ec1,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000005,38f72f66-9d7c-496b-98cd-b753d878ff61,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000006,20297473-7a74-48eb-913d-5429609ae8a8,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000007,fc001eaa-e284-4ea1-9bb4-29e071e88449,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000008,abe3d2a7-ecb8-43d5-a43a-0ebccaef509d,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000009,dd871fb2-23f6-483c-96cd-220af0a4651d,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000010,89f34690-8747-4642-a706-b47775e602a8,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000011,e4faff98-4ab9-47e7-8b00-b2d34f985e6e,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000012,4fb87d79-397b-4385-bc31-0811678d605f,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000013,f7cd8b97-b487-4c17-b240-58f22888d3ef,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000014,2ecea5ba-a000-4fff-ad20-a9a9d06ba608,promotion,2025-1,33,18,C,Consultant,Stockholm,C,M,CAT18,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000015,951f92b1-c100-473f-b92a-d3e83791e16b,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000016,679cfefc-427d-4550-93d6-3c4cb7c9380c,promotion,2025-1,29,14,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000017,67b77718-a233-473f-8c00-cd710944c86f,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000018,45e6c489-da36-4528-8de8-f25e57d58ab2,promotion,2025-1,30,12,C,Recruitment,Stockholm,C,M,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000019,24e34d4a-46d3-4148-a0a5-f9bbc3dda026,promotion,2025-1,87,35,AM,Sales,Stockholm,AM,C,CAT30,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000020,6192c14c-7246-4865-9207-87d980a2f72a,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,0.0198,
34c61701-fd59-47a5-8199-ec1081b716ca_000021,52f28e51-d2d5-437e-8181-e183d63a352a,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000022,03d02978-51d4-4bca-a320-4edf282b67b4,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000023,f2991eca-1ff7-4d24-9a62-2878605dcaec,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000024,eff5cd67-f9d5-493d-96ee-ee484e947185,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000025,c8138856-e257-487f-b0ff-1e9ff31743b8,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000026,452ee889-7623-4eed-8749-daf100a9e6f2,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000027,2c18fdee-0366-4137-adbf-7d527ced9856,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000028,cc5abdb3-4be9-404c-8014-042415661090,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000029,c033f80a-a4d9-450b-8a6d-1d652da783db,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000030,55785381-1d9c-4244-bedd-48d5c2e8b2bf,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000031,745a7407-064c-4eaf-a0ae-34d76b24d1d8,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000032,3efecfd4-25e6-4540-b9fe-480189ccb2b5,churn,2025-1,8,2,AC,Consultant,Stockholm,,,,,0.0265,
34c61701-fd59-47a5-8199-ec1081b716ca_000033,60e319d7-2820-4307-8f4a-648180b3fb13,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.053
34c61701-fd59-47a5-8199-ec1081b716ca_000034,bce07cc8-c275-465f-ab47-e7fe1b4f085e,recruitment,2025-1,0,0,AC,Consultant,Stockholm,,,,,,0.053
34c61701-fd59-47a5-8199-ec1081b716ca_000035,6fc2e228-b7ba-4154-aad9-ac51a7ba7489,churn,2025-1,84,13,AM,Consultant,Stockholm,,,,,0.014,
34c61701-fd59-47a5-8199-ec1081b716ca_000036,e62640ce-4be5-4769-bdf7-03f7e79ff2e9,churn,2025-1,79,20,AM,Consultant,Stockholm,,,,,0.014,
34c61701-fd59-47a5-8199-ec1081b716ca_000037,bc131a99-62e6-4f58-8f71-b46bb697089e,churn,2025-1,33,12,C,Consultant,Stockholm,,,,,0.023,
34c61701-fd59-47a5-8199-ec1081b716ca_000038,d063d7ce-e99e-4bbf-bcc0-93d861c8d036,churn,2025-1,15,0,C,Consultant,Stockholm,,,,,0.023,
34c61701-fd59-47a5-8199-ec1081b716ca_000039,e2f0b922-abdc-464e-b5dc-17817deb42cb,recruitment,2025-1,0,0,C,Consultant,Stockholm,,,,,,0.0129
34c61701-fd59-47a5-8199-ec1081b716ca_000040,ee1277f2-2b81-4310-861e-22f28501ecf4,churn,2025-1,45,4,SrC,Consultant,Stockholm,,,,,0.0172,
34c61701-fd59-47a5-8199-ec1081b716ca_000041,e2033bbb-8554-4939-8ad6-d3466e38c819,churn,2025-1,51,9,SrC,Consultant,Stockholm,,,,,0.0172,
34c61701-fd59-47a5-8199-ec1081b716ca_000042,e4e07ced-2a9b-47c2-a94f-5fe34609733f,promotion,2025-1,32,17,C,Consultant,Munich,C,SrC,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000043,1f38d449-7608-418e-98cc-e09448b356ad,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000044,9e1feea0-c4e9-4f21-881e-165d5d0fb696,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000045,d4c50a72-5408-4a20-a7d8-44fd89110148,promotion,2025-1,31,14,C,Consultant,Munich,C,SrC,CAT12,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000046,67ee1f96-e12e-4df7-af0f-21331d3fa4e2,promotion,2025-1,93,34,AM,Consultant,Munich,AM,M,CAT30,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000047,a8881cf7-479b-4398-a282-a4fcfee9bb0f,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000048,ca73e1a3-062f-4276-a422-659ef8012f3b,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
34c61701-fd59-47a5-8199-ec1081b716ca_000049,1989150d-b6ec-45e1-adbe-ccc16a1611a3,recruitment,2025-1,0,0,A,Consultant,Munich,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000050,cbb61590-dfea-41a2-b4b0-6e78557039d7,recruitment,2025-1,0,0,A,Consultant,Munich,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000051,ed35be9e-4a2e-4682-8f45-45e7c082dc87,recruitment,2025-1,0,0,A,Consultant,Munich,,,,,,0.173
34c61701-fd59-47a5-8199-ec1081b716ca_000052,967948fa-0ffe-4d08-b7e9-1ab48eb8d4b7,recruitment,2025-1,0,0,AC,Consultant,Munich,,,,,,0.053
34c61701-fd59-47a5-8199-ec1081b716ca_000053,14472984-818b-4dae-91a0-91a7e7457c31,churn,2025-1,25,0,C,Consultant,Munich,,,,,0.023,
34c61701-fd59-47a5-8199-ec1081b716ca_000054,1da47910-c4e4-47d6-8a71-8fa2abdfba35,churn,2025-1,49,2,SrC,Consultant,Munich,,,,,0.0172,
34c61701-fd59-47a5-8199-ec1081b716ca_000055,9935a699-e1f2-4559-bada-912e63b2344f,churn,2025-1,69,19,AM,Consultant,Munich,,,,,0.014,
