event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
379ccaec-ffb5-4b13-8668-181f673c2094_000001,faa5f2c6-c338-43c0-99ec-950e7c2f6cf8,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000002,92813fa2-43d2-41e8-b01f-6c625ca17c81,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000003,0a85d4f6-e2e9-413a-992a-4849480398cd,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000004,26338468-1c85-40f3-8378-2006d1efb3d2,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000005,cc4a94b8-e4d0-48fe-a8e7-b40307255dbe,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000006,1b059280-dd64-4971-87d9-d5df0f78cef0,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000007,72bccb72-6ad6-4f5d-a91b-da50927e98ed,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000008,f27ab2dc-896d-40e1-8036-6a6e336dd2d2,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000009,a0b7a136-4bf3-42b7-846d-75c5d34a1040,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000010,41f7d14a-70e4-427c-b359-8de9e33fd98a,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000011,8c05700b-3084-4b75-b8bb-7adb89457d31,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000012,6bfcaa1d-821b-4a89-a642-5e0aa0bfd083,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000013,27981d9c-01e7-42b5-bbd8-a5f1db76e17e,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000014,c6d607bd-ff91-4d73-8076-542c93a9ac60,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000015,186e12e9-4677-4fa3-a4e7-dface2520154,churn,2025-1,1,1,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000016,416b1475-400a-465e-ae47-a490efffcd7c,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000017,a7626775-a1db-4021-9c34-a735f7fee7a9,churn,2025-1,6,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000018,10fb0ea6-37db-410d-9736-2ee0292abb03,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000019,6ff58905-b270-404c-bb18-51ebe11e3bae,churn,2025-1,5,5,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000020,b02af063-15f8-4c08-b969-1570006c5041,churn,2025-1,4,4,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000021,b8c09027-20b1-4b6c-9077-2628ed2b8312,churn,2025-1,1,1,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000022,0c5c5b02-be8a-47df-be98-94e893200bba,churn,2025-1,1,1,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000023,c2415a38-4f6e-4222-a2b4-eb7dd5be3a87,churn,2025-1,6,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000024,cdd6dcf7-3090-4f9f-b236-84a0b0c8992a,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000025,5be7e681-8c7f-43c2-bf46-1db54df3d901,churn,2025-1,4,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000026,d8bb0be8-e9c2-469f-8df8-fb98c0ab5df0,churn,2025-1,4,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000027,ac52a106-714c-43bc-9e3a-b414f23d2dd6,churn,2025-1,5,5,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000028,191e54df-862e-40bb-a323-3680186c059a,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000029,c381eb94-7c12-40c7-9db0-e92a2ff9da51,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000030,ea08773f-6941-4380-8380-a1830392bf0e,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000031,a5b65f70-6423-4d39-945f-b47593e664bf,churn,2025-1,1,1,A,Consultant,Stockholm,,,,,,
379ccaec-ffb5-4b13-8668-181f673c2094_000032,9c498949-30bc-4f81-812d-50596703ed1a,churn,2025-1,5,1,A,Consultant,Stockholm,,,,,,
