event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000001,8668f5ce-9c78-4511-90b8-7e685dd83965,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000002,bb741def-77b9-4adc-bd71-e245119ac9ad,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000003,b164d1c5-dc72-428c-b407-f4d680e193e3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000004,313a769c-09ed-4128-ae6d-cca0703b1c9d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000005,4fa00afd-350f-4fc7-86db-4021bcb79f99,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000006,a081e7f9-89cb-4835-8f9b-8e7c7da539eb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000007,f8c8e825-636d-4673-81f7-65111ca638cd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000008,a8f7d110-1dbc-47ab-80be-11185d034159,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000009,b36ab79e-1dbb-4300-ada1-7398dfa6ee2d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000010,71af33c7-92f0-42fc-8ddc-3788a68ec4f6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000011,9b529497-9925-471d-9f33-f9fa96793516,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000012,fdfda56f-d1c8-4999-8208-ffbc74b9aa75,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000013,fe3dfd88-9338-4d7e-99b1-9b3c3fcdcab7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000014,3af73ee2-6f41-4a7f-a0c1-2142804952c4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000015,e4d30013-ff4b-4ff2-be67-c722dbf8445d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000016,a499727d-506f-4332-af4d-75d89a17bebc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000017,b8bcfc0b-5b53-4b33-95ae-62c13d28af2c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000018,d1ebe4da-e0fa-4037-9467-6d010f405c9e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000019,e79f5c9d-4e05-4e49-8b14-8a9330f58a7a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000020,d24ab486-9736-44d3-92cd-944eff7ea2f0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000021,923bed46-2037-455c-89ba-6d955bdf55e7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000022,7de1495a-5b16-4985-a5d5-481a065319ad,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000023,01fc8eb0-7268-46f9-8144-6a9758a0699a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000024,c1524ff5-7167-4d7a-82a3-9308fb04504b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000025,ce8b85a9-513b-417b-bb8c-63e920e26539,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000026,849d7757-28db-4b02-8b7f-d94b9d72d5d7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000027,2527933f-4867-435c-8490-200c9b34d3d0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000028,d684dc8e-738a-4556-882f-536fa449122d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000029,cb866913-d0cc-42fa-8b2e-ad73c8eff266,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000030,ca1dedaf-e25a-485a-b4a7-b8997a4ee20d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000031,59622ad2-139e-47ae-a01e-e71167032b99,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000032,da382411-96b4-4092-a36a-6b2836476a67,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000033,2b7274d7-838c-43d4-a649-0c173dc85eb9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000034,1770daca-7bcc-4045-9f0d-0e621c77071b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000035,c78e5d90-6248-4c40-be8e-1020beff1afe,promotion,2025-1,24,24,M,Consultant,Stockholm,M,SrM,CAT24,0.03,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000036,bb7ef09d-bb6c-47c0-b132-b86d06042635,promotion,2025-1,24,24,M,Consultant,Stockholm,M,SrM,CAT24,0.03,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000037,3b731a39-07e3-41b4-bf13-c7d3ef5450fa,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000038,2922f711-6fe4-4fe4-b9a7-e2a25a49a0ec,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000039,7d4e21b6-7427-41f9-8368-35c3b8f09230,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000040,b6cb0d7b-7613-4ea5-8d3e-f219f60a89f1,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000041,6fc11bd2-1a82-44f1-931c-b7f1987a7ed5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000042,b0e80462-83d7-4a20-9435-ed63ec23cc10,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000043,79333823-8553-4608-a1d9-9d2bfafc80fe,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000044,ed403d5e-cb5e-4493-af8d-c3174a659f87,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000045,9e5c5ab7-442a-44b7-ba14-3f22841bc26d,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000046,272d2055-9a23-4703-9914-38e1a0f1d0b8,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000047,218f158d-5bb6-4fd6-99dd-99765800890f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000048,7065241c-f2b5-453f-8010-4a94f0f39ca7,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000049,dec4e6e8-e1ab-4b57-a1a6-c45e840d42df,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000050,8a533fb8-4e53-4c63-994a-fcbdb460288f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000051,2d7bcee2-64f4-4ef5-be55-9e10df1015fc,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000052,a2a80410-36ff-4710-82ed-1356ed17222b,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3a4b3c65-d52f-461d-80b6-f7c7440c3d07_000053,6500188a-4141-49ed-9474-8046841b0c9a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
