event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3abc1eaf-f600-47a8-9730-dce2a120efae_000001,cb4aab3b-ebb3-4660-9107-5d6673cacd35,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000002,c49f5ccf-b4b9-4f1d-8740-8ca1fd50501f,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000003,4dc29cc8-7192-4c99-a6e9-34f3167aba49,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000004,190c7caf-40d9-4f8e-8765-398970bb2606,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000005,1400e917-0651-43b0-9559-0664fded4e43,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000006,181cc235-56b3-4ff5-af28-b128095c2ea3,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000007,b982e1ef-fda5-4728-9da8-4fc342d80eee,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000008,09b9b1a1-c6d2-4750-8b50-3eec25218afb,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000009,a1c71a29-bb42-43e9-9fb9-4a4d1d43e8b3,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000010,3f888604-7781-4636-9a22-e52beca6d2ed,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000011,aa88f155-e16a-4995-a893-21361a4cfe53,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000012,4b371bc3-9fc4-4015-8818-62f44b1b4bbc,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
3abc1eaf-f600-47a8-9730-dce2a120efae_000013,92311a70-10dc-4a29-b015-163d48a54cfd,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
