event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3acc1c71-b2d0-4422-8495-a1148efd8f77_000001,18730e6f-8b89-4b96-a3d5-358a36b5ab73,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000002,997854b1-e00e-4252-bcb8-87a2c721f429,promotion,2024-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000003,ea0a9b95-352b-4936-90a9-80b8ba738dd1,promotion,2024-1,81,31,AM,Consultant,Stockholm,AM,C,CAT30,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000004,98ae33d5-acc4-4b3e-9caf-90de50dd89c9,promotion,2024-1,84,34,AM,Consultant,Berlin,AM,M,CAT30,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000005,f65ecc9a-5350-4cb1-a58e-0fb7fb759942,promotion,2024-1,128,31,M,Consultant,Copenhagen,M,SrM,CAT30,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000006,a4c82805-de58-4488-b286-a777c5fa0ef7,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000007,68e8dcf4-bb48-452e-b3fd-ceb7e22dedbc,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000008,a8c0586f-7208-48e2-9716-c3d178407606,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000009,eda5980a-6b54-42fc-abb2-02ec1f376a04,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000010,f57cb1d8-1397-4e7e-87c2-069bdf143c92,recruitment,2025-01,5,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000011,3ad67754-50d8-40ad-82a0-10c25a0ca9d4,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000012,216bdf42-6767-43de-b73a-854603c93a27,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000013,63029765-8afb-4e23-bc1b-383593bb4ea9,recruitment,2025-01,4,3,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000014,77bf7577-19f1-48cf-9898-7b3bc7005d5c,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000015,9212aa8f-4815-422b-a331-8baa79d3be85,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000016,ca07b3c3-da1a-48ef-8859-1b72bc68f6ac,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000017,ae75f48f-2d9c-4ad9-b852-3860a1c1dd77,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000018,4ec20358-897d-43be-b539-2476d41593fc,recruitment,2025-01,4,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000019,7f6548ba-dede-4156-a1ec-c5b787e3b735,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000020,ac68152f-6ce4-49db-a06b-c16dcc8a328f,recruitment,2025-01,5,4,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000021,b53db886-3532-4ab2-a1c4-5f48cd503614,recruitment,2025-01,3,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000022,d3ef276d-9184-4023-b5b2-26bb358e40b3,recruitment,2025-01,3,3,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000023,d82e2422-e713-4969-bd85-d29b3553f1b7,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000024,bb457ae7-1c26-46fd-8efd-771a09669ed8,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000025,ccb422f6-ebb7-4396-bf64-67be49ed2639,recruitment,2025-01,6,6,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000026,3a759181-c2c5-4097-960d-c0ec10a5a392,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000027,59ca5fa8-51da-4b7e-a3f6-e0218113bf44,recruitment,2025-01,3,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000028,c6e15491-e385-4258-b0ed-fb90f2d35e33,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000029,e5322e03-88e1-4650-b5dc-7dcffb853eb4,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000030,c5122c2d-d729-4e70-b73e-e97dd7b69935,recruitment,2025-01,2,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000031,da01f191-06a8-459b-850d-0b02f6ff7a39,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000032,0cb29599-7309-4334-8e76-61c9a38b9ecb,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000033,7151f4f2-0d56-454b-bbb3-967f62f4d194,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000034,4f1450c6-f8d9-42ca-8b6c-b0298e691dda,recruitment,2025-01,4,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000035,a12090dd-705e-4bd3-8e11-10eb1e853d16,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000036,cf4eca1e-026a-4ab9-9580-005281432907,recruitment,2025-01,5,3,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000037,e9d50ca0-9b4c-4407-863c-05ae5e6e3ca4,recruitment,2025-01,4,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000038,6191d267-5193-4e4a-91c9-301d0fd051ff,recruitment,2025-01,3,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000039,45b5bc43-dd28-4ac6-a375-50879a0b1215,recruitment,2025-01,4,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000040,11aefd27-2e71-42ae-9d5f-979051db9685,recruitment,2025-01,6,5,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000041,8afe2550-b2a7-46c7-b87f-d0362792dcd3,recruitment,2025-01,4,4,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000042,8a1f6b8c-bb49-4aa6-b699-28fcf5f5b3d1,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000043,f8bb46db-159a-482d-956f-71c4db5dcb0d,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000044,41e880e0-4b2a-4003-a88e-61f703758bb2,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000045,10d3abbc-3d37-4ded-93b5-318eb934f5a1,recruitment,2025-01,5,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000046,b3b75be7-4102-4834-87cb-497f87176e24,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000047,630b67af-fcb2-4c64-b9bd-258f06c8e6b7,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000048,5fcbfdba-a39a-4be2-80c9-e47d80ca8f39,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000049,7c8f7279-9b6f-4993-b54b-c08d1d5b3cc2,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000050,35e0724d-86ef-4cc5-ae11-b619eb9bee45,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000051,8e44a810-62d5-488f-8c69-00bfa9e58fb5,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000052,98cd8269-be12-4f83-b338-e38a9076d111,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000053,c55d8ade-2379-4fe6-8a4d-55e5cfda4876,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000054,8613bcc1-a231-416b-b1e6-6272ca9c2df6,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000055,7f404583-d072-4e9f-9c10-a8791fa57212,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000056,8c091ff4-f6c0-4825-8fd2-c033715f248c,recruitment,2025-01,5,5,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000057,60681335-aecd-4697-8965-714387a5784a,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000058,d73344d5-b9ad-4151-b424-f502f7497971,recruitment,2025-01,5,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000059,e67b3263-092d-4b94-befe-0196da508434,recruitment,2025-01,4,4,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000060,4e89d37a-022a-4a78-a408-d0ca553c53c2,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000061,3968a34f-86da-4dca-976a-783548602a2d,recruitment,2025-01,3,3,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000062,b429dd4f-4b22-4274-99a1-80159ea9c72b,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000063,5c860c53-2bf0-4b85-b0e7-6d4f318166c9,recruitment,2025-01,5,4,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000064,9d82d6d8-0ceb-4f63-a719-391ba56f83a9,recruitment,2025-01,1,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000065,428496b4-8b12-40a9-b2b8-88293661e352,recruitment,2025-01,2,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000066,7b60eded-da07-4aa1-ab73-8a74da5edc45,recruitment,2025-01,6,6,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000067,d93c9881-06e0-4d8e-afd2-991ea19d23eb,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000068,ba41517f-f556-4d42-8a3f-ad61f4244272,recruitment,2025-01,6,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000069,f3f22259-6d21-4191-9469-9d0562f8bda2,recruitment,2025-01,6,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000070,f7c2bf99-806a-4d0d-94d1-4a31ef25437a,recruitment,2025-01,3,2,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000071,069e78fd-8043-4c25-ae2c-9b93faaed466,recruitment,2025-01,0,0,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000072,20c41df8-8786-46b2-8ad6-513cf1e0d5f0,recruitment,2025-01,4,4,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000073,cc0c36fd-71ad-41c7-b342-e506ccee35d1,recruitment,2025-01,2,1,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000074,310520cf-6924-4872-9c5a-c9ad18a8b2c8,recruitment,2025-01,5,3,A,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000075,ac1c13fd-5b7e-4e3a-a85c-1ced22e6024b,recruitment,2025-01,12,6,AC,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000076,1122e3bc-4ca0-4a03-9b9e-05f47c645e3b,recruitment,2025-01,8,2,AC,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000077,f99ba128-2c4b-4e3f-8e43-0f5d0e7092b3,recruitment,2025-01,8,2,AC,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000078,ac08d8df-b915-4e38-b3fe-001ea6def395,recruitment,2025-01,14,8,AC,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000079,cae4c86b-6c5c-47f5-bc2a-c216bb99be79,recruitment,2025-01,10,4,AC,Consultant,Stockholm,,,,,,
3acc1c71-b2d0-4422-8495-a1148efd8f77_000080,5e883b6f-bce7-470e-b348-b353797b5187,recruitment,2025-01,12,6,AC,Consultant,Stockholm,,,,,,
