event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000001,cc5b97ec-c684-4342-b849-9b3e35dbad41,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000002,c6fe7e66-2bba-47ae-a874-59b033e1c55d,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000003,b54b5de4-c689-48c3-b51a-b880aebb3d78,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000004,84b13d3b-229f-4eb1-b086-f0b00c138ec1,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000005,a2499ad2-718f-431a-8da8-7c6f5bae24e0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000006,7fe0956b-4952-41d8-9773-e981d509bc20,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000007,90b56c00-fc49-4064-ba9c-029597babef4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000008,3a7d519f-b212-44a5-b1c8-e6b6b7424889,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000009,83ee8c46-ac05-4494-a320-c2fb970cf804,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000010,97a0a7d2-1c97-451e-84f1-c2395013b681,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000011,f1bd021c-4e46-4f7c-af8f-5c71a8272e21,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000012,688c7acb-5921-433b-8e79-d4cc29b29fc8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000013,5451d25b-9110-4a09-ba5d-2c88ac777156,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000014,1e968f98-9104-4b87-b41c-f22dc08fb330,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000015,bd5e2186-80e3-4aca-abe0-8de8f84d1df9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000016,9ad28ecb-9095-4a07-8143-3d3576c22f16,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000017,720c4a7f-5ea6-467b-8343-7e4ce5da2683,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000018,ec2624ea-1808-452c-ad77-270fdfb20aff,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000019,ee61ac7a-47cf-4586-8fd4-5e1acada428c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000020,6428c109-56f8-4a9c-80a3-7f0242a161a8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000021,bca28a6c-99c0-4d3e-9d38-b64cdee181b8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000022,5c0d3d1c-3ca6-439b-9ce7-df2f39b5e6e3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000023,7c7f3edb-a3bf-4227-a1df-9bfc76080aa5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000024,8cfd5614-ee31-4526-91eb-eed41f8b1779,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000025,297f7988-f9d2-40dd-b7c6-789a4f98d9bd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000026,8a073336-61fd-4649-8c5c-013f338b5bec,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000027,f04fa6f2-76a1-455f-aad6-792135f930a3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000028,00dc78d4-28c9-4bac-ad5a-cd8e422546d9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000029,bc969db5-2bc8-40fc-bdf6-a048b8125172,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000030,7654716f-6e56-4b96-ada7-11ecb2205466,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000031,0b419512-2372-4928-bedb-c62f22b0c548,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000032,f1d91986-131e-45cf-a4fd-8b174c13010f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000033,150ccdf0-f820-4ea8-89f9-406c35b13416,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000034,77a2a731-c737-49ea-8908-70b467d5efcc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000035,c60d3676-6883-449f-b30c-775c4327bd9e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000036,1592659e-dc07-4f09-a8a3-2e581f762770,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000037,f61f3cf7-82b2-4598-a917-8323715f1533,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000038,65a8f868-7ca9-493a-b315-4aed3927f347,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000039,69c2f1c3-9fb7-4c64-a329-4a74e2afe5e5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000040,436e1b02-ba8b-4b93-931b-bfced369288a,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000041,f0bff6fd-1046-4545-9f23-5c5d11266e04,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000042,8f111ebb-d6a9-42b2-b598-6ee24ff663e7,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000043,17c18b12-e85d-478b-865a-37e640db64f5,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000044,f797bc37-e54c-454b-aa36-0974491ce19f,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000045,171bbcdf-3300-494e-9347-b5f10a7d9dd6,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000046,47d82aed-fb32-4a73-b482-72c43cc60b13,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000047,5dbe9cc8-11dc-41f0-8853-59868584f255,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
3b060b37-7caa-42da-b9d2-69fbfd1f4470_000048,7d764426-789a-4ef1-9df9-a97cbb816005,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
