event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3b84f0d5-72ff-4b28-931d-1de991416b6c_000001,b3fbe357-7b63-4669-aa35-8045f1c509bf,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000002,6477c164-2af1-4361-b3ee-c9eae88fe4a3,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000003,788a6da1-3bcb-4e28-acc2-ba9b2848021c,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000004,55262f7a-ba74-4b60-9756-3b9b180a9d30,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000005,91254f3f-43a0-4dfe-969d-0cb8426f713a,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000006,890cec23-7165-440e-abfd-7b47c2153d51,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000007,80a0436e-c81d-42c8-9f82-5bbde226aa0c,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000008,64809579-b65f-4174-bdbe-d52431930c8a,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000009,f969be66-a7ca-4b74-8a75-e8eb65e2abfb,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
3b84f0d5-72ff-4b28-931d-1de991416b6c_000010,40f7b0e4-bc7b-430e-9d3d-636fff8520c2,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
