event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000001,ce6a9f94-6c88-4a04-b5d6-cbb5bfbb5731,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000002,fca3f643-56c8-4b88-a793-e0d360142828,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000003,6de6525e-370e-44f0-9ca8-e8313e12bd56,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000004,6edf03bc-463e-4e35-bd46-0c92c0df6bc4,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000005,f837ae81-e4f8-4498-b7c5-3f75b7bc458f,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000006,47220e6f-0135-43ad-9eea-488e3b878b7c,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000007,009559fa-e2c7-4c60-a90b-58da6ce8eef2,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000008,0e3d246d-690c-4328-a917-d1eddbf1fbce,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000009,16d1c1da-e961-4368-9fcb-7ec2f914c075,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
3c1bda1e-6728-4add-90f1-42775a7c4d1f_000010,3f942cee-6de2-447a-aca9-c1c1d3e6e2e2,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
