event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3c22198e-3742-467e-b731-dcc46680a293_000001,6b54c211-ecdd-41ce-af7e-fe741acd7996,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000002,9861fb92-5e16-4af2-a019-17767d04a8cf,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000003,decc1fd6-65da-4b1f-8e1a-53af3d598bc1,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000004,26092666-7949-42cc-a5d6-0b75c02c8cd3,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000005,2cb3fa1e-b407-4bc4-812f-9643a32ac0f0,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000006,2af3a55b-07da-49ab-9c19-9a66a73ba052,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000007,b89465fd-d550-4d60-90b2-6859067c3ff1,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000008,d83e4dc7-7385-4400-ae12-a586d6655f99,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000009,23d96237-96b9-44eb-bfba-523df43f80c7,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000010,f7ea3915-13bb-402d-b819-2e689ddbd3b0,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000011,d3d9c64b-b947-44cb-bfc6-27a6f9e531dd,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
3c22198e-3742-467e-b731-dcc46680a293_000012,5f2b9656-d313-4312-9d68-eee48fc8dc9d,promotion,2025-1,24,24,C,Consultant,OfficeA,C,SrC,CAT24,0.278,,
