event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000001,8d73725b-b1ff-4296-899b-db928961f4f5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000002,e0a8b70c-c873-4a16-bd02-42bf5377110f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000003,5e7f365c-bd1f-4744-81d5-aea1351f3206,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000004,34cc8cf1-e8f7-4d14-9e53-50e7c2e230f9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000005,7da2b6b0-e6e4-4f69-9f48-3e648b1817e9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000006,73b5f7a2-258f-4a36-ba5d-72e125518677,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000007,ddf46969-e87c-4a3e-b034-b8811ce77874,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000008,1a2dcb2b-da47-461a-9dd1-aff085fea5ae,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000009,e4a0ce62-7642-49c1-9e13-3ac5138a401f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000010,a897e54f-d9dd-45ae-931c-3f40cbd73f55,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000011,4885357d-4ae5-49e7-8604-ce196617f13b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000012,7098f4d0-2468-4369-ad09-0da73e110468,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000013,f7b00ae0-0981-41ec-8ed1-cbdcf570d061,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3d9e829e-1bbe-48aa-9efa-4636e44ef9aa_000014,7ec1eff2-7330-4a95-9cb7-070b07bdde48,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
