event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3e072de7-90a1-4185-91dc-1a4bb93f2221_000001,83f86fdc-84ae-4114-8e48-c28f0043f3cf,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000002,d8c35b2f-1db5-4d4a-989e-9426f9649f34,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000003,53186881-dfa4-45f2-b516-a061774734c1,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000004,325207ee-d1ca-4c24-a2f1-f114ec4446d9,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000005,5dd300af-06d1-4e68-9ee6-e8f065483438,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000006,416c2100-6794-47b1-947d-943cd9fb558a,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000007,d8399bd8-391b-4660-9ef2-521d0c25a835,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000008,559e1b9d-e339-49c3-8fbc-f7575f8866e2,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000009,a92d148f-0a21-40d6-8ee8-27a8669fb589,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000010,8cd94e63-04e1-4420-b800-d533d8603647,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000011,5472d77e-fec0-4a3f-a734-25d1495d650d,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
3e072de7-90a1-4185-91dc-1a4bb93f2221_000012,15828572-5b7d-4fa7-96d6-36320dabd83f,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
