event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000001,e1751dc9-4955-432f-913e-d798971d49cc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000002,55397c76-d025-40e4-8997-db4231556768,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000003,71d1faf9-3774-40a0-b735-1745e98cee6a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000004,d3a4dd75-7a9d-4e18-a55b-1cb1099478cb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000005,185ff966-2d7b-4dbb-ad33-143bba944eb8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000006,a249f913-efd3-4ad2-ade0-de4f75368099,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000007,67d9c1e2-44b7-4bb8-b77b-986460e6faf4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000008,f6fb3dc0-7a52-46a9-8af8-3d5da061bc9e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000009,edd57125-25da-43b8-adef-65063bffc26a,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000010,b521f5ee-1009-454a-8fee-5edba294bc66,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000011,60d0fe61-606d-41de-af1a-8befe88ad330,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000012,28418aa1-3253-49a9-86df-62424294c140,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000013,6d2d6b8b-e1e5-4b01-b539-d3b98fc0ef22,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000014,3702c13a-84f1-48f0-adde-6789ab059313,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000015,7fc28362-d7ec-4380-9b57-95adc8fde17e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000016,3f96c681-de6c-4a7a-9aa5-d0542c7fd136,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000017,ff01f247-dec4-4be3-9896-918cef2d86e9,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000018,6349f484-e62d-4666-9830-3fcdaf811e84,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000019,e7a29ea4-cf25-4ec9-8d9d-c7d204202824,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000020,1a047435-5177-4923-8529-c60efa56f5dd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000021,c1bc11fe-75cd-4b49-b458-b7e0198a11bb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000022,9b870efb-f769-42b0-a4a0-dc5c95738a9e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000023,256716c2-05c1-42e1-b9cd-e05d26054451,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000024,55ca44d4-9d5f-4449-9af2-1d65230bec2f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000025,c7047a81-4736-4ad8-8399-3cbfadb851c0,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3e26c39c-ef1e-4aa3-a8a6-40bcea670917_000026,878fefc4-22f5-49e6-87c4-c838c2056e76,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
