event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3e308f29-36d8-41c7-97a3-2fe188d7f209_000001,7c3543a0-c127-440f-a3e0-145f70785a88,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000002,700e1d68-465e-4fe2-8c13-7954b7e88958,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000003,1505c69b-aa66-4daa-853c-da9e0fbe3f33,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000004,8d016c40-8f89-4783-8686-cb1130cb56ff,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000005,05e36239-502e-42d6-8a1c-fbc62ea19076,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000006,db3310a4-4a63-43ff-a16b-89a47f2550c9,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000007,0f2877f3-4b6f-4689-95ec-32ea834c8c2f,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000008,ee173e6a-1b35-476b-a670-652637fe958c,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000009,bb88200b-5d54-4d95-8849-04adf6cc2d6a,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000010,e9db1ac5-cd7f-4895-bd17-331939cd0a02,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000011,ca9ac725-dfa3-436a-9470-99bacd1ca666,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000012,ed09927f-b82b-4001-a5b9-2a09c2cdca88,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000013,a1159e8a-8e9d-4f03-a606-efe774f00d92,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000014,726ff893-144a-4cd3-a6d0-f24b2b707037,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000015,dee603ab-877e-4cf8-bfb1-0592be31d722,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000016,cff5942e-51ba-4466-a248-582bee3b0e02,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000017,9808219c-6afd-48fe-b199-dccacbb7158b,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000018,a949cbc6-cefe-4774-bba4-37c469d88d39,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000019,b57e6256-2ffe-4d36-bb83-e726f333723f,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000020,812518ad-5f72-4dd9-a042-88211ee54533,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000021,a22024a2-b1c8-4042-9d66-6dac5101c764,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000022,1dec9fdc-0f65-469c-945f-d800e0b61d2a,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000023,d1301c28-f8fc-4a81-8a00-971757e7cfee,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000024,56cdb874-da95-479e-9c2a-37544c39bff6,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000025,671c36fd-d70f-4b39-8da2-4a43af600867,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000026,c43c92cf-b8af-4db9-a2b2-68090643d428,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000027,bf0b21e9-38e8-4ac1-925c-acf3f75bcc65,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000028,1da69eb8-90ec-4722-b253-1bf337f0bd2b,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000029,2588ebba-4966-4190-b697-06f0a80ee7c0,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000030,6da3faee-a0e7-4add-af42-77957266a347,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000031,45f0880a-71c8-41e1-8361-8118184325d5,promotion,2025-1,31,14,C,Sales,Oslo,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000032,87554709-bc10-4999-b85c-fab2ae4954aa,promotion,2025-1,29,14,C,Consultant,Copenhagen,C,SrC,CAT12,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000033,c0c7f857-9f96-4933-83ff-92eb06810226,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000034,77ff40bc-9265-4d02-9edb-93806401d7df,promotion,2025-4,7,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000035,a61f0990-ef20-4ca4-b8f0-09279e8d9d38,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000036,143ef9e9-a716-4943-b4eb-834ba9ef6854,promotion,2025-4,8,7,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000037,95b13924-3b96-4d16-a44d-1cf6c9d82f4c,promotion,2025-4,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000038,a032dcb8-1343-4c52-b50b-e6086f38138f,promotion,2025-4,8,6,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000039,2d7daa34-5b6b-4585-909e-9681a67dc1ca,promotion,2025-4,9,8,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000040,3b9a03b1-6de3-42a7-9c61-5630ba59b7e0,promotion,2025-4,7,7,A,Consultant,Stockholm,A,AC,CAT6,,,
3e308f29-36d8-41c7-97a3-2fe188d7f209_000041,6a9bb19f-9f13-41a6-979b-8019c88f734a,promotion,2025-4,8,8,A,Consultant,Stockholm,A,AC,CAT6,,,
