event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000001,c621a9eb-f5aa-479c-8aa4-2185f82f7c9b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000002,d3e992a9-e163-4c25-abd1-4654f208af97,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000003,e9875598-7550-4d17-9330-6e2a99adc9ba,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000004,985250e0-4895-4457-846d-dd85d0acc102,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000005,87aadb13-f096-4446-88b9-126c6d5bc655,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000006,e45e4036-2989-446e-be62-edb9c491db67,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000007,8e926f74-cf27-4165-b572-122abe8ab2cc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000008,0d62791d-1f03-44cf-a603-5669f5f3024f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000009,aa4a85c6-55a8-40fe-b3f8-c7e4048b32bc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000010,32edf6cd-c867-439a-8d63-b40ddc5bd965,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000011,aab27b39-fedb-480a-bd90-c077c170068f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000012,d42699b3-eba0-4a6a-86de-2a5ca4f50d19,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000013,44deff46-2d7d-4498-b81c-6eb2de6188c5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000014,c6e2a33f-a30c-45fe-9cdc-adc57d6ec8bb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000015,49c49cd0-f5e3-447e-b99b-193a5c7e8cc4,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000016,d2c4907b-6ceb-4f47-b3bf-855f6453bd75,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000017,2a0ae305-c95b-4bba-9fde-79e7b6c57ee8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000018,1f10795a-1d4e-4e5c-9b5b-be71901e3f56,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000019,ce2f1fcc-c86d-4434-8d55-2743c754aa6f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000020,a075ddb8-d81c-4425-8fa8-816ff5faa497,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000021,48df4ae3-69fa-4ab7-90c9-9c3c3d0bec0f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000022,9a143d1f-bea6-4cc8-a4a7-cdee07820d13,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000023,c1920da8-74d1-4096-a048-1b759e590c43,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000024,532ab6ab-d42d-429b-9dc5-50a18a0850db,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000025,1b5e728a-e211-4b46-8594-0aa98965b1b3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000026,c65fb9e5-ad95-4df7-915b-3894ec586868,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000027,8242302a-2b18-43bd-a522-7637f01926f3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000028,a7039245-f6f8-4e0b-87e6-0b9dc758c8f5,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000029,060c11da-462c-45f1-8f7f-e94f3e16b2b3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000030,e3002aaf-42a4-45b5-80e8-e04c6d8f3a60,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
3ea766c5-6d6f-4995-99fe-f0353f09e3c7_000031,74489863-f107-40c0-a61a-f7a668c50d2b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
