event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000001,4cb23ba6-b4c4-408a-b5bf-7ca1f4fb5b10,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000002,7bacd9b3-d873-4637-85fd-86ca08d02f39,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000003,d855f6e3-44a0-4330-8921-8e94a6576c13,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000004,734a6d95-4e2f-465b-b894-e552f9a410c0,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000005,e63be7c3-3002-4782-a046-69c702f4b41c,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000006,b23bc40e-293e-4d17-ae96-51957ea93e48,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000007,fc3d8221-3eb4-4896-87f9-4162fba30efb,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000008,823fa723-6f09-4b42-9710-186358d963d1,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000009,5cd6ab78-5f8f-4107-87d2-5c44ec486d2e,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000010,b28e6a97-b188-4400-bd12-4af9f993b733,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000011,119c17a0-44fd-4ff2-8f93-00446288ed6f,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000012,5c5a1f23-8daa-41d6-9cef-b428678cfbe2,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000013,2f9cfbdd-3efb-4b2d-a3cd-b9f1ee733225,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000014,58853e41-4fd4-41cb-9a91-060e59f245b2,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000015,1435bd8b-2aa0-4243-bf54-9d0f4813163e,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000016,a6b23194-62e5-4dd8-9827-f6a2b7e52af1,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000017,0b19214f-6086-4b2b-b653-1ef402f531c5,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000018,31ee0691-76b3-4b35-b2f0-41c440e2775c,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000019,046df970-78fb-4b63-9856-8885b5491c72,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000020,a791bf2c-b6ee-467f-b9ca-170e6e52b3bb,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000021,18dc6fca-93de-4b58-854e-40589dc45624,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000022,0f1258ff-ca93-484a-b00d-145e4bae2239,promotion,2025-1,145,36,M,Consultant,Munich,M,SrM,CAT36,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000023,6b5dba11-fdeb-4cdf-a298-bddf90bf0625,promotion,2025-1,30,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000024,e7280d6d-f27a-40e8-b177-a500b43991eb,promotion,2025-1,33,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000025,8cac12d0-c477-4752-8653-33ff7925c05c,promotion,2025-1,27,12,C,Consultant,Hamburg,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000026,9807c9ac-494d-4c2c-bb1c-eb2fe6460338,promotion,2025-1,29,14,C,Consultant,Hamburg,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000027,c60b1087-c46c-4689-9db9-9dd2e3977d71,promotion,2025-1,30,15,C,Recruitment,Hamburg,C,SrC,CAT12,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000028,49c8c095-4c90-4623-912b-c013545668c8,promotion,2025-1,84,34,AM,Consultant,Oslo,AM,M,CAT30,,,
42dced12-ddf0-4cd2-90f3-b3c0b6cd941b_000029,cb1058fa-720a-48f4-8191-723c7270e1e3,promotion,2025-1,82,32,AM,Consultant,Oslo,AM,M,CAT30,,,
