event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
451ee3b9-4427-4db3-80be-de8ec1eca336_000001,a17a4eb2-ff91-46cd-a58b-5434b013e846,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000002,e211cf39-2261-4ce9-b81e-dc1d33598d27,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000003,54825a5a-cda1-4019-8c25-d980284e04f0,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000004,59e7eecb-682d-4abe-9794-38726a917b1f,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000005,84bcc77d-23d0-445b-9d3b-370b2174e0c9,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000006,1cde1dcb-b40f-4c88-bfcd-26e347a4ecf6,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000007,6abfb8db-a40d-4e7e-8ea1-038c8965a2a6,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000008,11898f2a-6059-48b0-a515-de06f5fd86af,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000009,360f9888-d1b2-4686-8403-2f2c4488ca37,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000010,ce33444f-5591-4457-a973-9f5017535383,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000011,5d36c4a6-a5df-42d2-8d06-eccc2be600c3,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000012,293707ea-027c-4a8a-a61c-d352448cb0f1,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000013,00284ff4-a454-4e83-b407-2911198be500,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000014,36148b0c-3ffc-4b21-a0d6-1ad8dd6ea100,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000015,570b3511-8fe1-4a0a-b6f7-e7cc10aa1b7e,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000016,6900fffe-5fc7-451c-bce4-dc2e253b6244,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000017,f1ef955f-ba1e-4508-96b6-aa4748a16e43,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000018,84c166d3-81a4-45d0-85c9-60baa27e866b,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000019,a8b10440-d6d4-4709-9a3e-87e7ba99dd45,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
451ee3b9-4427-4db3-80be-de8ec1eca336_000020,c0720e96-fbfe-475f-ad43-ea2b22e078de,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
