event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
45265911-7c0c-4598-ba13-7ce16dd4bc44_000001,ac30b683-172c-4aa7-ba87-1703d06b3666,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000002,7574b355-0e47-40d8-ae5d-8ad968ca5461,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000003,ea243895-4769-4079-a4d7-d7606005b887,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000004,c0f67602-630a-491c-b440-ed8f2855c059,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000005,0949c8a2-9bc2-4751-a0f7-cece4372a6e7,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000006,754e4884-5cdc-48d7-afb1-0a8bb78d3abb,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000007,7d4b3685-57a0-43a4-8bd2-b4f5c417fb8c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000008,0949e56e-0b08-4f61-ba0d-89d2098a3c5b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000009,ee401b79-1fdf-48bd-adeb-031d0e3cc974,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
45265911-7c0c-4598-ba13-7ce16dd4bc44_000010,bd6ae9d4-62ed-4371-a2ae-fd92e8e2cc67,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
