event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000001,80a71843-65ec-45ce-b5f1-2c0a12563e6d,churn,2025-1,6,6,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000002,6714b5f5-89b1-4016-8cb8-4ba1d10e8eba,churn,2025-1,0,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000003,3017f716-b951-4f9e-bbc9-1ccc59a24ea2,churn,2025-1,2,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000004,ab0284af-40c8-4410-b320-af06401483b0,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000005,75e3b0a4-7ece-4725-8d20-389bf77cc698,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000006,17a96b5c-d75b-4af3-b8fd-5c19b8dedd67,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000007,1630b330-c324-48e1-8a78-36e896e0feab,recruitment,2025-1,0,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000008,67b1211e-3c3e-4346-9a2d-534306a7f2ac,churn,2025-2,4,2,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000009,c6355f73-6363-47ff-af3a-a2bd24d5fe01,churn,2025-2,4,4,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000010,31df4990-2916-454b-94a6-9f57a08b2725,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000011,d8fc15b9-6d26-4e43-b60a-b4c3e1960000,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000012,6d481c9d-d365-4d51-b75d-894af29e7632,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
468f0d6b-6538-4ac4-9443-def5d9d5da4f_000013,32e4e964-8867-4cf0-8468-67bd11f30df1,recruitment,2025-2,0,0,A,Consultant,Stockholm,,,,,,
