event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
471f7c2d-a36c-43fb-898d-acbd860c1c87_000001,99b64cd8-b3ad-4773-9774-bb81e35aaf45,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000002,a22f45f7-6382-4e44-9ec9-717989d1db10,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000003,aaf4419d-1b84-4b26-b953-67e0570ce19e,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000004,0e0aafda-40bd-41c3-9721-012c57e558ea,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000005,5c52ced3-0e5a-42c7-9d69-00b221f9d2c6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000006,c63f9463-1e2b-4203-b023-60ef91a5371c,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000007,c40d483a-faae-4f46-8056-c5b62d3283c6,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000008,2e8a84df-8f99-4e10-8968-74fffad72fe2,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000009,50e55bc2-aae0-4512-9a8c-5a2bce9bd065,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000010,90f8b68f-d493-4c9d-87e3-312924721f3f,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000011,491cd705-f410-42a0-8b1e-aa7b64988d19,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000012,2f8b36c9-e702-43ac-8ab0-c97a7d9cfa9b,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000013,912ac022-f17d-4a83-a092-ca99ed204a10,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000014,a3245cda-5e40-4d61-9aad-c42013485554,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000015,660f0867-1d55-4d40-be78-35899b50e986,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000016,18b275da-d8d7-4450-9f6d-02d096134419,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000017,3f08f4e7-1d53-4212-8ccc-a5b52b935fba,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000018,db01946e-fa3a-4eed-a309-0db7be531bd3,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000019,43a5b233-0734-40c9-b0c4-2e10847075bc,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000020,f9383a13-9244-486e-b152-6b1f29448fda,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000021,22bd94f8-d819-4026-82e3-314986936046,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000022,760331dd-36e7-486b-8cf4-34083a436812,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000023,ce77cff7-fb49-41fa-83d6-e9c27a0d8538,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000024,37d81fcc-7e34-4c81-97ab-3c9a043b9826,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000025,6258709f-4bc3-4c7d-bd95-a28ee59abfea,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000026,7cbbe39f-0651-4125-baac-538b9c6dbecd,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000027,c55d0d18-9040-483d-bd5c-0f0a34e94af8,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000028,34e1f8c0-59e3-4d8a-967d-eb5b347da884,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000029,bdbd7b68-1155-40a7-974b-c4a142684a03,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000030,aabbf80f-7d0f-4342-899a-43e042235ebf,promotion,2025-1,24,24,C,Consultant,Stockholm,C,SrC,CAT24,0.278,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000031,ecb1d4c1-5111-4649-ab98-a2da853f046e,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000032,bd7d7e10-e31f-4d99-86c7-827ad782ee7e,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000033,cb9b990c-9706-4235-8604-b622e331ae51,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000034,a4e59cd6-b6a9-455f-8558-83d3b062866c,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000035,8a1664af-ad33-4348-b659-159685b0f1a8,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000036,c39bd475-5ae0-4ff6-98d9-9d62038d7409,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000037,4ce29958-a570-4757-a3b2-4bdf70731d41,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000038,bae628a3-dd1c-4546-890f-2f16aced2f02,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000039,c564cbff-4299-4788-a758-f7c32d165cac,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000040,1d68fb6c-bdff-4fd0-9666-1c85fa7a4894,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000041,95dc5927-645a-4db3-a514-9f0584712166,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000042,6938d410-f063-405f-b49e-807c2d640b10,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
471f7c2d-a36c-43fb-898d-acbd860c1c87_000043,59462b76-9d06-4b40-958b-a9e87be72d32,promotion,2025-1,24,24,SrC,Consultant,Stockholm,SrC,AM,CAT24,0.211,,
