event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
49b7a003-6e85-4194-8955-c05442b436c8_000001,394e6f96-f357-439a-b3c5-0fdb48eda212,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
49b7a003-6e85-4194-8955-c05442b436c8_000002,97e2d048-528d-4836-8835-36a49dcdc576,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
49b7a003-6e85-4194-8955-c05442b436c8_000003,08115125-c19e-451a-9830-8a0e85f7cc6f,promotion,2025-1,86,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
49b7a003-6e85-4194-8955-c05442b436c8_000004,1c180e25-92d7-4842-b461-5b7e1bcb7e15,promotion,2025-1,80,30,AM,Consultant,Stockholm,AM,C,CAT30,,,
49b7a003-6e85-4194-8955-c05442b436c8_000005,014b68fe-6b64-4eef-b47d-d830da88227b,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
49b7a003-6e85-4194-8955-c05442b436c8_000006,e1d019ca-1194-4551-86c2-f7b526f8f10c,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
49b7a003-6e85-4194-8955-c05442b436c8_000007,8ada6fb6-9242-4737-84ee-cbbef084e30e,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
49b7a003-6e85-4194-8955-c05442b436c8_000008,56b11e81-df3a-4a4f-bc5b-6fa15325e35b,promotion,2025-1,31,16,C,Consultant,Stockholm,C,M,CAT12,,,
49b7a003-6e85-4194-8955-c05442b436c8_000009,e7ab42e2-b5e9-40a0-9cb3-050f9a51f3b7,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
49b7a003-6e85-4194-8955-c05442b436c8_000010,57a3f8ff-f5e7-420f-9c31-4171c41ff338,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
49b7a003-6e85-4194-8955-c05442b436c8_000011,42714501-50b8-4896-978f-642e73111618,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
49b7a003-6e85-4194-8955-c05442b436c8_000012,2198fc86-91fe-47b1-bc55-78ea3a3ef8cc,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
