event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
4a0ded5f-14e2-4465-a1a7-da806059dee8_000001,9e61f561-4792-404e-a4dd-057e7b6cd42e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000002,8005608f-6d1e-4ceb-8ca5-9d8adbcf2e44,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000003,84231eac-5288-4f88-b3e6-aae65806baf7,promotion,2025-1,85,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000004,3082b54f-b55d-4972-8bb3-a5664308a235,promotion,2025-1,91,32,AM,Consultant,Stockholm,AM,C,CAT30,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000005,071dc8b1-f049-4629-b82b-f1a5566bdcb2,promotion,2025-1,31,13,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000006,74a706c0-3d20-4247-87d5-a36dca66f789,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000007,5257069a-be0b-45c9-a3bf-b86c99f971ec,promotion,2025-1,28,12,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000008,37e62012-3f10-46ad-8269-f494da26a373,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000009,0eba95d2-73b3-44fb-baa1-f654144a4e14,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000010,1d0d6c49-9786-48dd-a2e8-b1c5e951334f,promotion,2025-1,32,17,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000011,fd3ef51f-2110-4ada-964e-9510c3010f9f,promotion,2025-1,32,13,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000012,bc2ee0fc-5185-4abc-852f-9b4514a90b7b,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000013,1c07fd2e-491e-4d85-86a9-bc465dad4f3f,promotion,2025-1,30,15,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000014,1246c2d8-2c7f-4b33-9f26-b94a6e080c7c,promotion,2025-1,30,14,C,Consultant,Stockholm,C,M,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000015,6ad44def-8261-4658-a753-9b91dbf02457,promotion,2025-1,28,13,C,Consultant,Munich,C,SrC,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000016,48ad6d88-1c5e-471b-8f13-565f07cbc57e,promotion,2025-1,31,15,C,Consultant,Munich,C,SrC,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000017,9b8bdb89-89e4-4aaa-b6e9-b8ecb494ec64,promotion,2025-1,27,12,C,Consultant,Munich,C,SrC,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000018,1d6248e4-fa95-478d-b812-eb9b7f332ba6,promotion,2025-1,33,17,C,Consultant,Munich,C,SrC,CAT12,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000019,905cd855-b185-4556-bc09-902a13b8f084,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000020,8d16565c-ce51-4903-9455-9e4254b5d4f1,promotion,2025-1,80,30,AM,Consultant,Munich,AM,M,CAT30,,,
4a0ded5f-14e2-4465-a1a7-da806059dee8_000021,7d7d1cf2-c94b-489c-9b2b-e716fe1e9708,promotion,2025-1,83,33,AM,Consultant,Munich,AM,M,CAT30,,,
