event_id,person_id,event_type,date,total_tenure_months,time_on_level_months,level,role,office,from_level,to_level,cat_category,progression_probability,churn_rate,recruitment_rate
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000001,822befe8-c666-4b75-9637-8cc7368f1dfb,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000002,f770d5d4-19e4-40b8-981c-c27fbda4c33e,promotion,2025-1,6,6,A,Consultant,Stockholm,A,AC,CAT6,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000003,c7c24e3a-862f-469c-9346-5925d8f07ac4,promotion,2025-1,84,34,AM,Consultant,Stockholm,AM,C,CAT30,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000004,7d5319ec-9851-4b75-ada0-9a6b36afc127,promotion,2025-1,97,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000005,4c4f2055-fdd9-45e0-a9e0-e4b54b856bcd,promotion,2025-1,87,35,AM,Consultant,Stockholm,AM,C,CAT30,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000006,b8a3c5ba-e619-466e-a0f6-bda6b5723491,promotion,2025-1,28,13,C,Consultant,Stockholm,C,M,CAT12,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000007,cee2851d-97b7-4160-aaa3-de9d62064f7e,promotion,2025-1,30,12,C,Consultant,Stockholm,C,M,CAT12,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000008,832b8776-d70f-4143-a90c-275c93160c8c,promotion,2025-1,32,14,C,Consultant,Stockholm,C,M,CAT12,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000009,8879abf4-de16-4e63-b126-322453eb0326,promotion,2025-1,31,15,C,Consultant,Stockholm,C,M,CAT12,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000010,7af8015e-11d2-4dd7-aff6-43fd97ade17a,promotion,2025-1,29,13,C,Consultant,Stockholm,C,M,CAT12,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000011,46ca26d3-a297-4066-971c-83ea2aa802e5,promotion,2025-1,33,12,C,Consultant,Stockholm,C,M,CAT12,,,
4a9e2e21-51cc-4e8d-807f-9bd1a5653034_000012,eeda63c1-d450-41aa-9da7-9051bdfd53f6,promotion,2025-1,27,12,C,Consultant,Stockholm,C,M,CAT12,,,
